id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,telecom
10001,1,49,2016,5,2,13,1,1,75,2
10002,2,44,2016,5,2,1,2,1,53,1
20001,1,51,2016,5,2,10,1,1,64,1
30001,1,45,2016,5,2,9,1,8,83,3
30002,2,42,2016,4,2,1,2,8,26,4
30003,1,14,2016,3,1,1,2,8,19,4
30004,1,8,2016,2,1,1,2,8,9, 
40001,1,39,2016,4,2,13,1,8,90,3
40002,2,40,2016,5,2,6,1,8,69,1
40003,1,10,2016,2,1,1,2,8,18, 
40004,2,9,2016,2,1,1,2,8,18,1
50001,1,44,2016,5,2,12,1,8,33,1
50002,2,39,2016,5,2,1,2,8,33,1
50003,2,10,2016,2,1,1,2,8,16, 
50004,2,9,2016,2,1,1,2,8, , 
60001,1,47,2016,5,2,9,1,8,40,1
60002,2,43,2016,4,2,4,1,8,31,1
60003,2,15,2016,3,1,1,2,8,17,1
60004,2,10,2016,2,1,1,2,8,16,1
80001,1,66,2016,4,3,1,2,8,14, 
90001,1,53,2016,5,2,7,1,8,35, 
90002,2,47,2016,4,2,5,1,8,40,1
100001,1,37,2016,5,2,9,1,8,75,2
100002,2,37,2016,6,2,9,1,8,75,2
110001,1,56,2016,5,2,8,1,8,54,2
110002,2,57,2016,4,2,4,2,8,29,2
110003,2,25,2016,5,1,5,1,8,34,2
110004,1,24,2016,5,1,2,2,8,29,2
120002,2,50,2016,4,2,5,1,1,49,1
120003,1,25,2016,5,1,1,2,1,56,2
120004,2,23,2016,5,1,1,2,1,85,1
130001,1,69,2016,3,2,3,2,1,39,2
130002,2,66,2016,3,2,1,2,1,52,2
150001,1,46,2016,5,2,9,1,1,50,1
150002,2,43,2016,4,2,1,2,1,43,1
160001,1,65,2016,3,2,6,1,1,30,1
160002,2,64,2016,3,2,4,1,1,26,2
170001,2,69,2016,3,3,3,2,1,22,3
180001,2,49,2016,4,4,7,1,1,49,2
190001,1,45,2016,5,2,10,1,1,40,1
190002,2,44,2016,4,2,1,2,1,40,1
200001,1,86,2016,4,2,4,2,1,40,2
200002,2,75,2016,3,2,1,2,1,40,2
210001,1,67,2016,2,2,4,2,1,40,3
210002,2,64,2016,2,2,1,2,1,40,3
220001,1,64,2016,4,2,6,1,1,40,1
220002,2,62,2016,4,2,1,2,1,40,1
230001,1,55,2016,5,2,10,1,1,45,1
230002,2,61,2016,4,2,1,2,1,40,1
240001,1,75,2016,3,2,4,1,1,43,3
240002,2,71,2016,3,2,1,2,1,43,3
250001,2,95,2016,2,3,1,2,1,18, 
250002,1,42,2016,5,1,6,1,1,65,1
260001,1,55,2016,5,2,10,1,1,50,1
260002,2,53,2016,4,2,1,2,1,40,1
270001,1,62,2016,4,2,6,1,1,34,1
270002,2,50,2016,4,2,5,1,1,40,1
280001,2,83,2016,2,3,2,2,1,15, 
290001,2,61,2016,4,2,5,1,1,45,3
290002,1,54,2016,4,2,7,1,1,53,1
290003,2,31,2016,5,1,5,1,1,40,1
300001,2,53,2016,4,3,1,2,1,48,1
300002,2,26,2016,5,1,1,2,1,48,1
300003,2,29,2016,5,1,6,1,1,75,1
300004,1,27,2016,4,1,5,1,1,75,1
310001,1,57,2016,4,2,6,1,1,45,2
310002,2,53,2016,4,2,4,1,1,15, 
310003,2,24,2016,5,1,5,1,1,40,1
310004,2,22,2016,5,1,1,2,1,40,1
320001,1,80,2016,2,2,1,2,1, , 
320002,2,79,2016,2,2,1,2,1,15, 
330001,2,77,2016,2,3,2,2,1,15, 
340001,1,52,2016,5,2,8,1,1,80,1
340002,2,50,2016,5,2,5,1,1,48,1
340003,1,25,2016,5,1,1,2,1,68,1
350001,1,61,2016,4,2,4,2,1,65,1
350003,2,62,2016,4,2,1,2,1,40,1
360001,1,44,2016,5,2,8,1,8,58,1
360002,2,39,2016,5,2,1,2,8,48,1
370001,1,47,2016,5,2,9,1,8,58,2
370002,2,47,2016,4,2,1,2,8,58,2
380001,1,39,2016,5,2,9,1,8,42,2
380002,2,37,2016,6,2,5,1,8,40,2
390001,2,48,2016,4,2,1,2,4,60,1
390002,2,22,2016,5,1,1,2,4,34,1
390003,1,19,2016,5,1,1,2,4,34,3
390004,1,49,2016,5,2,13,1,4,44,3
400002,2,55,2016,3,2,6,1,4,34,3
410002,2,50,2016,4,4,5,1,4,69,1
420001,1,36,2016,4,2,7,1,4,78,2
420002,2,36,2016,4,2,1,2,4,100,1
420003,1,9,2016,2,1,1,2,4,13, 
430001,1,35,2016,4,2,7,1,4,55,1
430002,2,35,2016,4,2,3,1,4,75,1
430003,1,7,2016,2,1,1,2,4,10, 
440001,1,54,2016,5,2,1,2,4,34,3
440002,2,51,2016,4,2,5,1,4,30, 
440003,2,26,2016,5,1,5,1,4,60,1
440004,2,23,2016,5,1,1,2,4,80,3
450001,1,41,2016,4,2,9,1,4,30,2
450002,2,39,2016,4,2,1,2,4,32,2
450003,2,10,2016,2,1,1,2,4,14, 
450004,2,10,2016,2,1,1,2,4,14, 
450005,2,8,2016,2,1,1,2,4, , 
460001,1,44,2016,5,2,8,1,1,70,2
460002,2,40,2016,4,2,5,1,1,50,1
470001,1,54,2016,4,2,8,1,1,50,1
470002,2,80,2016,2,3,1,2,1,30, 
470003,2,47,2016,4,2,4,1,1,60,1
480001,1,76,2016,3,2,3,1,1,25, 
480002,2,70,2016,3,2,1,2,1,25, 
490001,2,52,2016,4,2,5,1,1,55,2
490003,1,21,2016,5,1,1,2,1,60,2
