id,gender,age,year,school,mar,mobile_bundle,income,job,region,phone_usage_per_m,telecom
10001,1,54,2021,5,2,1,10,1,1,32,2
10002,2,49,2021,5,2,1,1,2,1,32,2
10003,2,24,2021,5,1,1,6,1,1,29,2
10004,1,21,2021,5,1,2,1,2,1,40,3
20001,1,56,2021,5,2,1,9,1,1,59,1
20002,2,55,2021,2,2,1,4,1,1,35,1
20003,1,28,2021,6,1,1,8,1,1,59,1
30001,1,50,2021,5,2,2,10,1,8,38,2
30002,2,47,2021,4,2,1,1,2,8,24,2
30003,1,19,2021,5,1,2,1,2,8,32,2
30004,1,13,2021,3,1,2,1,2,8,7,2
40001,1,44,2021,4,2,2,18,1,8,80,1
40002,2,45,2021,5,2,1,6,1,8,69,1
40003,1,15,2021,3,1,1,1,2,8,25,1
40004,2,14,2021,3,1,1,1,2,8,25,1
50001,1,49,2021,5,2,1,11,1,8,25,1
50002,2,44,2021,5,2,1,1,2,8,25,1
50003,2,15,2021,3,1,1,1,2,8,23,1
50004,2,14,2021,3,1,1,1,2,8,14,1
60001,1,52,2021,5,2,1,11,1,8,32,1
60002,2,48,2021,4,2,2,7,1,8,23,1
60003,2,20,2021,5,1,2,1,2,8,25,1
60004,2,15,2021,3,1,2,1,2,8,31,1
80001,1,71,2021,4,3,2,1,2,8,17, 
100001,1,42,2021,5,2,2,8,1,8,45,2
100002,2,42,2021,6,2,2,11,1,8,45,2
100003,1,11,2021,2,1,2,1,2,8,20,2
130001,1,74,2021,3,2,1,1,2,1,25,2
130002,2,71,2021,3,2,2,4,1,1,35,2
140001,2,59,2021,4,3,2,6,1,1,45,2
160001,1,70,2021,3,2,2,4,1,1,22,1
160002,2,69,2021,3,2,2,1,2,1,25,1
180001,2,54,2021,4,4,2,5,1,1,45,1
220001,1,69,2021,4,2,2,6,1,1,45,2
220002,2,67,2021,4,2,2,2,2,1,45,3
230001,1,60,2021,5,2,1,11,1,1,48,2
230002,2,66,2021,4,2,1,1,2,1,45,2
230003,2,31,2021,5,1,1,6,1,1,45,1
260001,1,60,2021,5,2,2,12,1,1,48,1
260002,2,58,2021,4,2,2,2,2,1,50,3
260003,2,29,2021,5,1,2,7,1,1,55,2
260004,1,27,2021,5,1,2,8,1,1,55,2
270001,1,67,2021,4,2,2,4,1,1,48,2
270002,2,55,2021,4,2,2,7,1,1,40,2
290001,2,66,2021,4,2,1,1,2,8,17,3
290002,1,59,2021,4,2,1,7,1,8,36,3
290003,2,36,2021,5,1,1,7,1,8,63,1
300001,2,58,2021,4,3,1,7,1,1,34,1
300002,2,31,2021,5,1,2,6,1,1,38,1
300003,2,34,2021,5,1,1,5,1,1,48,1
300004,1,32,2021,4,1,1,5,1,1,61,1
310001,1,62,2021,4,2,1,7,1,1,37,1
310002,2,58,2021,4,2,1,5,1,1,37,1
310003,2,29,2021,5,1,1,7,1,1,39,1
310004,2,27,2021,5,1,1,5,1,1,39,1
320001,1,85,2021,2,2, ,2,2,1, , 
320002,2,84,2021,2,2,2,2,2,1,18, 
320003,1,50,2021,4,1,2,1,2,1,38,3
330001,2,82,2021,2,3,2,2,2,1,20, 
340001,1,57,2021,5,2,1,5,1,1,36,1
340002,2,55,2021,4,2,1,3,1,1,36,1
340003,1,30,2021,5,1,2,5,1,1,38,2
340004,1,24,2021,5,1,1,1,2,1,48,1
350001,1,66,2021,4,2,1,4,1,1,21,1
350002,1,34,2021,5,1,1,7,1,1,61,1
350003,2,67,2021,4,2,1,1,2,1,21,1
360001,1,49,2021,5,2,2,8,1,8,72,1
360002,2,44,2021,5,2,2,1,2,8,30,2
370001,1,52,2021,5,2,2,8,1,8,65,1
370002,2,52,2021,4,2,1,7,1,8,58,1
380001,1,44,2021,5,2,2,8,1,9,65,2
380002,2,42,2021,6,2,2,8,1,9,65,1
390001,2,53,2021,4,2,1,1,2,4,69,1
390002,2,27,2021,5,1,1,6,1,4,40,3
390003,1,24,2021,5,1,2,1,2,4,38,1
390004,1,54,2021,5,2,2,18,1,4,50,1
400001,1,64,2021,4,2,1,6,1,4,34,3
400002,2,60,2021,3,2,1,1,2,4,34,3
410002,2,55,2021,4,4,1,3,1,4,56,2
410003,2,17,2021,4,1,1,1,2,4,38,2
420001,1,41,2021,4,2,1,7,1,4,56,2
420002,2,41,2021,4,2,1,3,1,4,87,2
420003,1,14,2021,3,1,1,1,2,4,85,2
420004,1,6,2021,1,1, ,1,2,4, , 
430001,1,40,2021,4,2,1,8,1,4,65,1
430002,2,40,2021,4,2,1,8,1,4,65,1
430003,1,12,2021,2,1,1,1,2,4,28,1
430004,1,10,2021,2,1,1,1,2,4,18,1
440001,1,59,2021,5,2,2,1,2,4,24,1
440002,2,56,2021,4,2,2,1,2,4,19,3
440003,2,31,2021,5,1,2,6,1,4,20,1
440004,2,28,2021,5,1,2,6,1,4,41,3
460001,1,49,2021,5,2,1,9,1,1,60,3
460002,2,45,2021,4,2,1,7,1,1,45,3
470001,1,59,2021,4,2,1,8,1,8,65,1
470002,2,85,2021,2,4,2,1,2,8,35, 
470003,2,52,2021,4,2,1,1,1,8,60,1
480001,1,81,2021,3,2,2,4,2,1,40,3
480002,2,75,2021,3,2,2,1,2,1,35,2
490001,2,57,2021,4,2,1,10,1,1,85,3
490003,1,26,2021,5,1,1,1,2,1,60,1
500001,2,60,2021,4,2,2,5,1,1,65,3
510001,2,77,2021,2,3,2,6,1,1,35, 
520001,1,60,2021,4,2,2,7,1,1,60,1
520002,2,49,2021,4,2,2,5,1,1,60,1
530001,1,73,2021,3,2,1,5,1,1,30,1
530002,2,74,2021,3,2,1,1,2,1,50,1
530003,1,52,2021,4,2,1,8,1,1,70,1
530004,2,49,2021,4,2,1,5,1,1,70,1
540001,1,74,2021,3,2,2,11,1,1,30,2
540002,2,64,2021,3,2,2,1,2,1,30,2
540003,2,33,2021,4,1,2,5,1,1,45,2
550001,1,76,2021,2,4,2,4,1,1,35,2
550002,1,40,2021,4,2,2,6,1,1,70,1
550003,2,38,2021,4,2,1,7,1,1,68,3
560001,1,47,2021,5,2,1,10,1,1,70,3
560002,2,44,2021,4,2,2,1,2,1,60,2
570001,1,63,2021,4,2,1,8,1,1,65,1
570002,2,63,2021,4,2,1,5,1,1,70,1
580001,1,77,2021,3,2,2,9,1,1,55,3
580002,2,73,2021,3,2,2,1,2,1,50,3
590001,1,46,2021,4,1,2,8,1,1,60,3
600002,2,59,2021,3,2,1,5,1,1,70,2
600004,1,29,2021,5,1,2,7,1,1,75,1
600005,1,25,2021,5,1,2,1,2,1,70,1
610001,2,30,2021,5,1,2,8,1,1,65,1
620001,2,38,2021,5,1,2,8,1,1,60,1
630001,1,43,2021,5,2,1,10,1,1,65,1
630002,2,41,2021,4,2,1,5,1,1,60,1
640001,2,58,2021,4,2,1,8,1,1,60,2
650002,2,81,2021,2,2,2,1,2,8,40,1
660001,1,59,2021,4,2,2,11,1,1,32,3
660002,2,56,2021,5,2,2,8,1,1,32,3
660004,1,28,2021,5,1,1,7,1,1,67,2
670001,1,55,2021,5,2,1,8,1,1,45,3
670002,2,53,2021,5,2,1,1,2,1,43,1
680002,2,84,2021,4,2,1,1,2,1,25,3
690001,1,55,2021,6,2,1,10,1,1,33,3
690002,2,52,2021,5,2,1,6,1,1,48,1
700001,1,62,2021,5,2,1,10,1,1,28,1
700002,2,55,2021,4,2,1,6,1,1,30,2
710001,1,54,2021,5,2,1,10,1,1,44,3
710002,2,50,2021,4,2,1,1,2,1,33,3
710003,2,24,2021,5,1,1,1,2,1,35,1
710004,2,22,2021,5,1,1,1,2,1,35,1
720002,2,38,2021,5,2,1,1,2,1,45,2
730001,1,60,2021,5,2,1,10,1,1,35,1
730002,2,56,2021,5,2,1,7,1,1,35,1
730003,2,30,2021,5,1,1,6,1,1,35,1
740001,1,57,2021,5,2,1,11,1,1,69,1
740002,2,53,2021,4,2,1,1,2,1,43,1
740004,2,25,2021,5,1,2,6,1,1,89,1
750002,2,58,2021,5,2,1,1,2,1,40,2
750003,2,32,2021,5,1,1,7,1,1,69,2
750004,2,28,2021,5,2,1,5,1,1,69,2
760002,2,56,2021,4,2,1,6,1,1,33,2
780001,1,88,2021,3,2,2,1,2,1,35, 
780002,2,89,2021,2,2,2,1,2,1,30, 
810001,1,71,2021,4,2,2,6,2,1,20,2
810002,2,66,2021,4,2,2,3,1,1,20,2
810101,1,31,2021,5,1,2,9,1,1,91,2
820001,1,51,2021,5,2,1,12,1,8,45,1
820002,2,48,2021,5,2,1,1,2,8,45,1
820003,1,19,2021,5,1,1,1,2,8,52,1
820004,2,16,2021,4,1,1,1,2,8,45,1
820005,2,75,2021,2,3,1,2,2,8,12, 
830001,1,51,2021,5,2,1,12,1,8,89,1
830002,2,49,2021,5,2,1,12,1,8,52,1
830003,2,22,2021,5,1,1,1,2,8,52,1
830004,2,17,2021,4,1,1,1,2,8,52,1
870001,1,59,2021,5,2,2,11,1,8,45,2
870002,2,54,2021,5,2,2,1,2,8,80,1
870003,2,23,2021,5,1,2,1,2,8,52,1
890001,1,59,2021,5,2,1,16,1,8,45,2
890002,2,57,2021,4,2,1,1,2,8,39,2
890003,2,27,2021,5,1,1,7,1,8,39,2
890004,1,26,2021,5,1,1,1,2,8,69,3
890005,2,90,2021,2,3, ,2,2,8, , 
900001,1,58,2021,4,2,1,5,1,8,45,2
900002,2,55,2021,4,2,1,12,1,8,69,2
900003,1,30,2021,5,1,1,7,1,8,45,2
900004,1,27,2021,5,1,1,1,2,8,39,2
930001,1,70,2021,4,2,1,8,1,1,48,2
930002,2,63,2021,4,2,2,8,1,1,47,2
940001,1,57,2021,5,2,1,7,1,1,24,1
940002,2,53,2021,4,2,1,4,1,1,24,1
940003,2,30,2021,5,1,1,6,1,1,30,2
960002,2,46,2021,5,2,1,1,2,1,33,1
960003,1,15,2021,3,1,2,1,2,1,27,2
960004,2,13,2021,3,1,2,1,2,1,27,2
970001,1,73,2021,3,2,1,6,1,1,39,2
970002,2,71,2021,2,2,1,1,2,1,35,2
980001,1,61,2021,5,2,1,10,1,1,30,3
980002,2,61,2021,4,2,2,6,1,1,55,1
980003,2,39,2021,5,2,2,6,1,1,55,1
980004,1,41,2021,5,2,2,8,1,1,55,1
1000001,1,44,2021,5,2,1,8,1,1,49,1
1000002,2,43,2021,5,2,1,6,1,1,50,1
1010002,2,46,2021,5,2,1,6,1,1,39,2
1010003,1,15,2021,3,1,1,1,2,1,27,2
1010004,2,12,2021,2,1,1,1,2,1,20,2
1020002,2,79,2021,3,3,1,1,2,1,34,3
1020003,1,55,2021,4,2,1,7,1,1,36,3
1030001,1,73,2021,4,2,1,1,2,1,27,1
1030002,2,66,2021,3,2,1,1,2,1,27,1
1040001,1,52,2021,5,2,1,8,1,1,44,3
1040002,2,52,2021,5,2,1,4,1,1,44,3
1040003,1,26,2021,5,1,1,7,1,1,44,2
1060001,1,55,2021,5,2,1,12,1,1,65,1
1060002,2,53,2021,5,2,1,1,2,1,48,1
1070001,1,50,2021,5,2,1,8,1,1,46,1
1070002,2,47,2021,5,2,1,9,1,1,42,1
1080002,2,72,2021,2,2,2,4,1,1,42,3
1090001,1,49,2021,5,2,2,7,1,1,59,1
1090002,2,49,2021,5,2,2,1,2,1,39,1
1100001,1,51,2021,5,1,1,7,1,1,69,1
1110001,1,65,2021,5,2,2,6,1,1,45,3
1110002,2,60,2021,5,2,2,1,2,1,23, 
1120001,1,55,2021,5,2,1,7,1,1,49,2
1120002,2,50,2021,5,2,1,6,1,1,33,2
1120003,2,23,2021,5,1,1,4,1,1,49,2
1150001,1,51,2021,5,2,1,7,1,1,75,3
1150002,2,48,2021,5,2,1,1,2,1,47,3
1160001,1,52,2021,4,2,1,9,1,1,60,1
1160002,2,53,2021,5,2,1,5,1,1,43,1
1170001,1,52,2021,5,2,1,8,1,1,60,2
1170002,2,47,2021,5,2,2,5,1,1,55,3
1170003,1,20,2021,5,1,2,1,2,1,70,3
1180001,1,50,2021,6,2,1,6,1,1,70,2
1180002,2,51,2021,5,2,1,1,2,1,35,2
1190002,2,43,2021,5,2,1,6,1,1,59,1
1190003,1,18,2021,4,1,1,1,2,1,33,1
1190004,2,11,2021,2,1,1,1,2,1,23,1
1200001,1,60,2021,5,2,1,8,1,1,60,1
1200002,2,57,2021,5,2,1,1,2,1,40,1
1210001,1,61,2021,5,2,1,12,1,1,60,3
1210002,2,58,2021,5,2,1,1,2,1,39,2
1210004,1,30,2021,5,1,1,7,1,1,60,3
1220001,2,83,2021,2,3,2,3,2,1,39,3
1230002,1,65,2021,4,2,1,6,1,1,45,3
1230003,2,62,2021,4,2,1,1,2,1,39,3
1240001,1,79,2021,4,2,1,6,1,1,38,3
1240002,2,75,2021,2,2,1,1,2,1,39,1
1260001,1,59,2021,4,2,1,8,1,1,50,1
1260002,2,58,2021,4,2,1,1,2,1,40,1
1270001,1,59,2021,5,2,1,12,1,1,55,2
1270002,2,55,2021,4,2,1,1,2,1,42,2
1280001,2,52,2021,4,4,2,8,1,1,65,1
1290001,1,57,2021,4,2,1,10,1,1,55,1
1290002,2,57,2021,4,2,1,1,2,1,46,1
1290003,1,31,2021,5,1,1,8,1,1,58,1
1300001,1,63,2021,5,2,1,13,1,1,60,1
1300002,2,58,2021,5,2,1,1,2,1,40,1
1300004,1,31,2021,5,1,1,7,1,1,63,1
1310001,2,44,2021,5,2,1,1,2,1,54,1
1310002,1,45,2021,5,2,1,9,1,1,60,1
1320001,1,66,2021,5,2,1,8,1,1,65,2
1320002,2,64,2021,5,2,1,7,1,1,58,2
1320101,1,36,2021,5,2,1,10,1,1,70,2
1320102,2,31,2021,5,2,1,9,1,1,50,2
1330001,2,59,2021,4,3,2,7,1,1,47,3
1340001,1,40,2021,5,2,2,9,1,8,54,2
1340002,2,40,2021,5,2,2,5,1,8,42,2
1340003,2,10,2021,2,1,2,1,2,8,10,2
1350001,2,71,2021,4,4,2,4,1,1,45,2
1360001,1,75,2021,2,2,1,3,2,1,25,1
1360002,2,67,2021,2,2,1,1,2,1,20,1
1380001,1,72,2021,3,2,1,4,2,1,18,3
