id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,telecom
10002,2,52,2024,5,2,1,2,1,29,2
10003,2,27,2024,5,1,6,1,1,47,2
10004,1,24,2024,5,1,6,1,1,38,2
20001,1,59,2024,5,1,7,1,1,57,1
20003,1,31,2024,5,1,7,1,1,39,1
30001,1,53,2024,5,2,11,1,8,45,3
30002,2,50,2024,4,2,1,2,8,38,3
30003,1,22,2024,5,1,1,2,8,43,2
40002,2,48,2024,5,2,14,1,8,80,3
40004,2,17,2024,4,1,1,2,8,34,3
50002,2,47,2024,5,2,1,2,8,9,1
50003,2,18,2024,4,1,1,2,8,24,1
50004,2,17,2024,4,1,1,2,8,24,1
60001,1,55,2024,5,2,11,1,8,36,1
60002,2,51,2024,4,2,7,1,8,32,1
60003,2,23,2024,5,1,3,1,8,26,1
60004,2,18,2024,4,1,1,2,8,33,1
80001,1,74,2024,4,3,3,2,8,30,2
100001,1,45,2024,5,2,9,1,8,71,2
100002,2,45,2024,6,2,10,1,8,35,2
100003,1,14,2024,3,1,1,2,8,11,4
120001,1,58,2024,4,2,7,1,1,30,2
120002,2,58,2024,4,2,5,1,1,21,2
120003,1,33,2024,5,1,9,1,1,42,2
120004,2,31,2024,5,1,7,1,1,41,2
130001,1,77,2024,3,2,1,2,1,25,2
130002,2,74,2024,3,2,4,1,1,25,2
140001,2,62,2024,4,3,7,1,1,40,3
160001,1,73,2024,3,2,6,1,1,20,2
160002,2,72,2024,3,2,1,2,1,20,2
180001,2,57,2024,4,4,6,1,1,26,1
220001,1,72,2024,4,2,8,1,1,40,3
220002,2,70,2024,4,2,2,2,1,50,3
230001,1,63,2024,4,2,10,1,1,70,3
230002,2,69,2024,4,2,8,1,1,65,3
230003,2,34,2024,5,1,7,1,1,70,2
260001,1,63,2024,5,2,8,1,1,60,3
260002,2,61,2024,4,2,7,1,1,50,2
260003,2,32,2024,5,1,8,1,1,70,2
260004,1,30,2024,5,1,8,1,1,70,1
270001,1,70,2024,4,2,7,1,1,50,3
270002,2,58,2024,4,2,7,1,1,50,3
290001,2,69,2024,4,2,1,2,8,42,1
290002,1,62,2024,4,2,7,1,8,55,1
300001,2,61,2024,4,3,1,2,1,34,2
300002,2,34,2024,5,1,7,1,1,69,1
300003,2,37,2024,5,1,7,1,1,37,2
310001,1,65,2024,4,2,7,1,1,42,1
310002,2,61,2024,4,2,1,2,1,38,1
310003,2,32,2024,5,1,8,1,1,69,1
320001,1,88,2024,2,2,2,2,1,35,1
320003,1,53,2024,4,1,9,1,1,65,3
330001,2,85,2024,2,3,3,2,1,19,1
340002,2,58,2024,4,2,3,2,1,51,3
340003,1,33,2024,5,1,7,1,1,85,3
350001,1,69,2024,4,2,5,1,1,34,3
350002,1,37,2024,5,4,8,1,1,75,3
350003,2,70,2024,4,2,5,2,1,34,2
360001,1,52,2024,5,2,11,1,8,58,2
360002,2,47,2024,5,2,7,1,8,60,1
