id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,telecom
660001,1,58,2020,4,2,11,1,1,33,2
660002,2,55,2020,5,2,9,1,1,45,2
660004,1,27,2020,5,1,7,1,1,35,2
670001,1,54,2020,5,2,9,1,1,43,3
670002,2,52,2020,5,2,1,2,1,37,1
680002,2,83,2020,4,2,1,2,1,32,3
690001,1,54,2020,6,2,11,1,1,41,2
690002,2,51,2020,5,2,7,1,1,41,2
700001,1,61,2020,5,2,11,1,1,35,1
700002,2,54,2020,4,2,7,1,1,43,1
720002,2,37,2020,5,2,1,2,1,47,2
720007,1,12,2020,2,1,1,2,1,31,1
730001,1,59,2020,5,2,11,1,1,37,3
730002,2,55,2020,5,2,7,1,1,43,3
740001,1,56,2020,5,2,11,1,1,49,3
740002,2,52,2020,4,2,1,2,1,43,1
750002,2,57,2020,5,2,1,2,1,42,2
750004,2,27,2020,5,2,5,1,1,37,2
760002,2,55,2020,4,2,7,1,1,43,3
780001,1,87,2020,3,2,1,2,1,13, 
780002,2,88,2020,2,2,1,2,1,18, 
810001,1,70,2020,4,2,1,2,1,10, 
810002,2,65,2020,4,2,4,1,1,34,1
810003,1,30,2020,5,1,8,1,1,69,1
820001,1,50,2020,5,2,10,1,8,42,2
820002,2,47,2020,5,2,1,2,8,39,2
820003,1,18,2020,4,1,1,2,8,42,2
820004,2,15,2020,3,1,1,2,8,42,2
820005,2,74,2020,2,3,2,2,8,8, 
830001,1,50,2020,5,2,12,1,8,69,1
830002,2,48,2020,5,2,12,1,8,69,1
830003,2,21,2020,5,1,2,2,8,60,1
830004,2,16,2020,4,1,1,2,8,69,1
870001,1,58,2020,5,2,11,1,8,35,1
870002,2,53,2020,5,2,5,1,8,35,1
870003,2,22,2020,5,1,3,2,8,69,1
870004,1,17,2020,4,1,1,2,8,69,1
900001,1,57,2020,4,2,7,1,8,42,2
900002,2,54,2020,4,2,12,1,8,69,2
900003,1,29,2020,5,1,7,1,8,52,2
900004,1,26,2020,5,1,1,2,8,42,2
930001,1,69,2020,4,2,8,1,1,50,2
930002,2,62,2020,4,2,8,1,1,45,2
940001,1,56,2020,5,2,7,1,1,33,2
940002,2,52,2020,4,2,5,1,1,33,2
940003,2,29,2020,5,1,6,1,1,69,2
960002,2,45,2020,5,2,1,2,1,33,2
960003,1,14,2020,3,1,1,2,1,27,2
960004,2,12,2020,2,1,1,2,1,27,2
970001,1,72,2020,3,2,5,1,1,40,2
970002,2,70,2020,2,2,1,2,1,35,2
980001,1,60,2020,5,2,11,1,1,42,3
980002,2,60,2020,4,2,6,1,1,39,3
980003,2,38,2020,5,2,7,1,1,47,1
980004,1,40,2020,5,2,9,1,1,59,1
