id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,mobile_bundle,telecom,telecom_change,telecom_change_yn
10002,2,45,2017,5,2,1,2,1,29,2,1,1,0
10002,2,46,2018,5,2,1,2,1,35,1,1,1,0
10002,2,47,2019,5,2,1,2,1,58,1,1,1,0
10002,2,48,2020,5,2,1,2,1,37,1,2,1,1
10002,2,49,2021,5,2,1,2,1,32,1,2,2,0
10002,2,50,2022,5,2,1,2,1,45,1,2,2,0
10002,2,51,2023,5,2,1,2,1,47,1,2,2,0
10002,2,52,2024,5,2,1,2,1,29,1,2,2,0
10002,2,53,2025,5,2,1,2,1,41,1,2,2,0
20001,1,52,2017,5,2,10,1,1,62,1,2,2,0
20001,1,53,2018,5,2,8,1,1,68,2,2,2,0
20001,1,54,2019,5,2,11,1,1,34,1,3,2,1
20001,1,55,2020,5,2,9,1,1,41,1,2,3,1
20001,1,56,2021,5,2,9,1,1,59,1,1,2,1
20001,1,57,2022,5,2,9,1,1,47,1,3,1,1
20001,1,58,2023,5,2,10,1,1,69,1,1,3,1
20001,1,59,2024,5,1,7,1,1,57,1,1,1,0
20001,1,60,2025,5,2,8,1,1,51,1,1,1,0
30001,1,46,2017,5,2,8,1,8,39,2,3,3,0
30001,1,47,2018,5,2,9,1,8,39,2,3,3,0
30001,1,48,2019,5,2,9,1,8,32,2,2,3,1
30001,1,49,2020,5,2,9,1,8,41,1,2,2,0
30001,1,50,2021,5,2,10,1,8,38,2,2,2,0
30001,1,51,2022,5,2,10,1,8,28,1,2,2,0
30001,1,52,2023,5,2,11,1,8,28,1,2,2,0
30001,1,53,2024,5,2,11,1,8,45,1,3,2,1
30001,1,54,2025,5,2,11,1,8,47,1,3,3,0
30002,2,43,2017,4,2,1,2,8,22,2,4,4,0
30002,2,44,2018,4,2,1,2,8,38,2,1,4,1
30002,2,45,2019,4,2,1,2,8,38,2,2,1,1
30002,2,46,2020,4,2,1,2,8,38,1,2,2,0
30002,2,47,2021,4,2,1,2,8,24,1,2,2,0
30002,2,48,2022,4,2,1,2,8,4,1,2,2,0
30002,2,49,2023,4,2,1,2,8,3,1,2,2,0
30002,2,50,2024,4,2,1,2,8,38,1,3,2,1
30002,2,51,2025,4,2,1,2,8,69,1,3,3,0
30003,1,15,2017,3,1,1,2,8,18,2,4,4,0
30003,1,16,2018,3,1,1,2,8,43,2,2,4,1
30003,1,17,2019,4,1,1,2,8,43,2,2,2,0
30003,1,18,2020,4,1,1,2,8,17,1,2,2,0
30003,1,19,2021,5,1,1,2,8,32,2,2,2,0
30003,1,20,2022,5,1,1,2,8,38,1,2,2,0
30003,1,21,2023,5,1,1,2,8,43,1,2,2,0
30003,1,22,2024,5,1,1,2,8,43,1,2,2,0
30003,1,23,2025,5,1,3,2,8,55,2,1,2,1
50002,2,40,2017,5,2,1,2,8,33,2,1,1,0
50002,2,41,2018,5,2,1,2,8,25,2,1,1,0
50002,2,42,2019,5,2,1,2,8,25,1,1,1,0
50002,2,43,2020,5,2,1,2,8,25,1,1,1,0
50002,2,44,2021,5,2,1,2,8,25,1,1,1,0
50002,2,45,2022,5,2,1,2,8,23,1,1,1,0
50002,2,46,2023,5,2,1,2,8,9,1,1,1,0
50002,2,47,2024,5,2,1,2,8,9,1,1,1,0
50002,2,48,2025,5,2,1,2,8,13,1,1,1,0
50004,2,10,2017,2,1,1,2,8,11,2,4,4,0
50004,2,11,2018,2,1,1,2,8,15,2,1,4,1
50004,2,12,2019,2,1,1,2,8,19,1,1,1,0
50004,2,13,2020,3,1,1,2,8,25,1,1,1,0
50004,2,14,2021,3,1,1,2,8,14,1,1,1,0
50004,2,15,2022,3,1,1,2,8,24,1,1,1,0
50004,2,16,2023,4,1,1,2,8,24,1,1,1,0
50004,2,17,2024,4,1,1,2,8,24,1,1,1,0
50004,2,18,2025,4,1,1,2,8,24,1,1,1,0
60001,1,48,2017,5,2,9,1,8,38,1,1,1,0
60001,1,49,2018,5,2,10,1,8,39,1,1,1,0
60001,1,50,2019,5,2,10,1,8,33,2,1,1,0
60001,1,51,2020,5,2,10,1,8,33,1,1,1,0
60001,1,52,2021,5,2,11,1,8,32,1,1,1,0
60001,1,53,2022,5,2,11,1,8,43,1,1,1,0
60001,1,54,2023,5,2,11,1,8,36,1,1,1,0
60001,1,55,2024,5,2,11,1,8,36,1,1,1,0
60001,1,56,2025,5,2,10,1,8,40,1,2,1,1
60003,2,16,2017,4,1,1,2,8,34,2,1,1,0
60003,2,17,2018,4,1,1,2,8,31,1,1,1,0
60003,2,18,2019,4,1,1,2,8,33,2,1,1,0
60003,2,19,2020,5,1,1,2,8,33,1,1,1,0
60003,2,20,2021,5,1,1,2,8,25,2,1,1,0
60003,2,21,2022,5,1,1,2,8,26,1,1,1,0
60003,2,22,2023,5,1,2,2,8,26,1,1,1,0
60003,2,23,2024,5,1,3,1,8,26,1,1,1,0
60003,2,24,2025,5,1,1,2,8,50,1,2,1,1
100001,1,38,2017,5,2,8,1,8,50,2,2,2,0
100001,1,39,2018,5,2,7,1,8,93,2,2,2,0
100001,1,40,2019,5,2,8,1,8,69,2,2,2,0
100001,1,41,2020,5,2,8,1,8,66,2,2,2,0
100001,1,42,2021,5,2,8,1,8,45,2,2,2,0
100001,1,43,2022,5,2,11,1,8,60,1,2,2,0
100001,1,44,2023,5,2,8,1,8,31,1,2,2,0
100001,1,45,2024,5,2,9,1,8,71,1,2,2,0
100001,1,46,2025,5,2,10,1,8,50,1,2,2,0
100002,2,38,2017,6,2,8,1,8,67,2,2,2,0
100002,2,39,2018,6,2,8,1,8,51,2,2,2,0
100002,2,40,2019,6,2,8,1,8,53,1,2,2,0
100002,2,41,2020,6,2,8,1,8,45,1,2,2,0
100002,2,42,2021,6,2,11,1,8,45,2,2,2,0
100002,2,43,2022,6,2,11,1,8,35,1,2,2,0
100002,2,44,2023,6,2,9,1,8,34,1,2,2,0
100002,2,45,2024,6,2,10,1,8,35,1,2,2,0
100002,2,46,2025,6,2,11,1,8,34,1,2,2,0
130001,1,70,2017,3,2,3,2,1,67,2,1,1,0
130001,1,71,2018,3,2,3,2,1,28,2,1,1,0
130001,1,72,2019,3,2,3,2,1,25,2,3,1,1
130001,1,73,2020,3,2,1,2,1,23,1,2,3,1
130001,1,74,2021,3,2,1,2,1,25,1,2,2,0
130001,1,75,2022,3,2,1,2,1,35,1,1,2,1
130001,1,76,2023,3,2,1,2,1,25,1,1,1,0
130001,1,77,2024,3,2,1,2,1,25,1,2,1,1
130001,1,78,2025,3,2,2,2,1,10,1,1,2,1
160001,1,66,2017,3,2,6,1,1,65,1,1,1,0
160001,1,67,2018,3,2,5,1,1,38,2,3,1,1
160001,1,68,2019,3,2,4,1,1,35,2,2,3,1
160001,1,69,2020,3,2,5,1,1,5,2,1,2,1
160001,1,70,2021,3,2,4,1,1,22,2,1,1,0
160001,1,71,2022,3,2,6,1,1,35,1,1,1,0
160001,1,72,2023,3,2,6,1,1,22,1,2,1,1
160001,1,73,2024,3,2,6,1,1,20,1,2,2,0
160001,1,74,2025,3,2,6,1,1,11,1,1,2,1
160002,2,65,2017,3,2,4,1,1,49,1,1,1,0
160002,2,66,2018,3,2,4,1,1,25,2,1,1,0
160002,2,67,2019,3,2,2,2,1,4,2,2,1,1
160002,2,68,2020,3,2,1,2,1,25,2,1,2,1
160002,2,69,2021,3,2,1,2,1,25,2,1,1,0
160002,2,70,2022,3,2,1,2,1,35,1,1,1,0
160002,2,71,2023,3,2,1,2,1,18,1,2,1,1
160002,2,72,2024,3,2,1,2,1,20,1,2,2,0
160002,2,73,2025,3,2,1,2,1,13,1,1,2,1
180001,2,50,2017,4,4,7,1,1,60,2,2,2,0
180001,2,51,2018,4,4,5,1,1,54,2,2,2,0
180001,2,52,2019,4,4,4,1,1,38,2,1,2,1
180001,2,53,2020,4,3,5,1,1,45,2,3,1,1
180001,2,54,2021,4,4,5,1,1,45,2,1,3,1
180001,2,55,2022,4,4,5,1,1,35,1,1,1,0
180001,2,56,2023,4,4,5,1,1,24,1,1,1,0
180001,2,57,2024,4,4,6,1,1,26,1,1,1,0
180001,2,58,2025,4,4,7,1,1,27,1,2,1,1
220001,1,65,2017,4,2,6,1,1,52,2,3,3,0
220001,1,66,2018,4,2,6,1,1,75,2,3,3,0
220001,1,67,2019,4,2,5,1,1,95,1,3,3,0
220001,1,68,2020,4,2,8,1,1,69,1,1,3,1
220001,1,69,2021,4,2,6,1,1,45,2,2,1,1
220001,1,70,2022,4,2,7,1,1,55,2,3,2,1
220001,1,71,2023,4,2,7,1,1,40,2,3,3,0
220001,1,72,2024,4,2,8,1,1,40,2,3,3,0
220001,1,73,2025,4,2,8,1,1,45,1,3,3,0
220002,2,63,2017,4,2,1,2,1,60,2,3,3,0
220002,2,64,2018,4,2,2,2,1,65,2,3,3,0
220002,2,65,2019,4,2,1,2,1,80,1,3,3,0
220002,2,66,2020,4,2,7,2,1,35,1,1,3,1
220002,2,67,2021,4,2,2,2,1,45,2,3,1,1
220002,2,68,2022,4,2,2,2,1,60,2,3,3,0
220002,2,69,2023,4,2,2,2,1,40,2,3,3,0
220002,2,70,2024,4,2,2,2,1,50,2,3,3,0
220002,2,71,2025,4,2,3,2,1,45,1,3,3,0
260001,1,56,2017,5,2,10,1,1,50,2,1,1,0
260001,1,57,2018,5,2,10,1,1,55,2,1,1,0
260001,1,58,2019,5,2,7,1,1,90,1,2,1,1
260001,1,59,2020,5,2,6,1,1,33,1,2,2,0
260001,1,60,2021,5,2,12,1,1,48,2,1,2,1
260001,1,61,2022,5,2,11,1,1,60,2,1,1,0
260001,1,62,2023,5,2,10,1,1,55,2,3,1,1
260001,1,63,2024,5,2,8,1,1,60,2,3,3,0
260001,1,64,2025,5,2,11,1,1,50,1,1,3,1
260002,2,54,2017,4,2,1,2,1,40,2,1,1,0
260002,2,55,2018,4,2,1,2,1,45,2,1,1,0
260002,2,56,2019,4,2,1,2,1,85,1,1,1,0
260002,2,57,2020,4,2,1,2,1,44,1,3,1,1
260002,2,58,2021,4,2,2,2,1,50,2,3,3,0
260002,2,59,2022,4,2,2,2,1,48,2,3,3,0
260002,2,60,2023,4,2,2,2,1,60,2,3,3,0
260002,2,61,2024,4,2,7,1,1,50,2,2,3,1
260002,2,62,2025,4,2,7,1,1,50,1,3,2,1
270001,1,63,2017,4,2,5,1,1,60,1,3,3,0
270001,1,64,2018,4,2,5,1,1,45,2,4,3,1
270001,1,65,2019,4,2,4,1,1,30,1,1,4,1
270001,1,66,2020,4,2,5,1,1,33,1,1,1,0
270001,1,67,2021,4,2,4,1,1,48,2,2,1,1
270001,1,68,2022,4,2,5,1,1,40,2,3,2,1
270001,1,69,2023,4,2,6,1,1,40,2,3,3,0
270001,1,70,2024,4,2,7,1,1,50,2,3,3,0
270001,1,71,2025,4,2,7,1,1,40,1,2,3,1
270002,2,51,2017,4,2,5,1,1,52,1,3,3,0
270002,2,52,2018,4,2,1,2,1,50,2,2,3,1
270002,2,53,2019,4,2,6,1,1,85,1,1,2,1
270002,2,54,2020,4,2,6,1,1,33,2,1,1,0
270002,2,55,2021,4,2,7,1,1,40,2,2,1,1
270002,2,56,2022,4,2,6,1,1,45,2,3,2,1
270002,2,57,2023,4,2,7,1,1,45,2,3,3,0
270002,2,58,2024,4,2,7,1,1,50,2,3,3,0
270002,2,59,2025,4,2,6,1,1,35,2,3,3,0
290002,1,55,2017,4,2,7,1,1,40,2,1,1,0
290002,1,56,2018,4,2,7,1,1,40,1,2,1,1
290002,1,57,2019,4,2,6,1,1,42,2,1,2,1
290002,1,58,2020,4,2,7,1,1,50,1,1,1,0
290002,1,59,2021,4,2,7,1,8,36,1,3,1,1
290002,1,60,2022,4,2,7,1,8,61,1,1,3,1
290002,1,61,2023,4,2,7,1,8,63,1,1,1,0
290002,1,62,2024,4,2,7,1,8,55,1,1,1,0
290002,1,63,2025,4,2,7,1,8,55,2,3,1,1
300001,2,54,2017,4,4,10,1,1,40,2,1,1,0
300001,2,55,2018,4,3,6,1,1,65,1,1,1,0
300001,2,56,2019,4,3,5,1,1,40,1,1,1,0
300001,2,57,2020,4,3,5,1,1,38,1,1,1,0
300001,2,58,2021,4,3,7,1,1,34,1,1,1,0
300001,2,59,2022,4,3,7,1,8,52,1,3,1,1
300001,2,60,2023,4,3,1,2,8,52,1,1,3,1
300001,2,61,2024,4,3,1,2,1,34,1,2,1,1
300001,2,62,2025,4,3,1,2,1,37,2,2,2,0
300002,2,27,2017,5,1,3,1,1,50,2,1,1,0
300002,2,28,2018,5,1,7,1,1,60,1,1,1,0
300002,2,29,2019,5,1,5,1,1,75,2,1,1,0
300002,2,30,2020,5,1,5,1,1,80,1,1,1,0
300002,2,31,2021,5,1,6,1,1,38,2,1,1,0
300002,2,32,2022,5,1,7,1,8,82,1,3,1,1
300002,2,33,2023,5,1,7,1,8,69,1,1,3,1
300002,2,34,2024,5,1,7,1,1,69,1,1,1,0
