id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,telecom
10001,1,55,2022,5,2,9,1,1,51,2
10002,2,50,2022,5,2,1,2,1,45,2
10003,2,25,2022,5,1,7,1,1,32,2
10004,1,22,2022,5,1,1,2,1,36,2
20001,1,57,2022,5,2,9,1,1,47,3
20003,1,29,2022,6,1,8,1,1,75,3
30001,1,51,2022,5,2,10,1,8,28,2
30002,2,48,2022,4,2,1,2,8,4,2
30003,1,20,2022,5,1,1,2,8,38,2
30004,1,14,2022,3,1,1,2,8,25,2
50001,1,50,2022,5,2,11,1,8,23,1
50002,2,45,2022,5,2,1,2,8,23,1
50003,2,16,2022,4,1,1,2,8,24,1
50004,2,15,2022,3,1,1,2,8,24,1
60001,1,53,2022,5,2,11,1,8,43,1
60002,2,49,2022,4,2,5,1,8,51,1
60003,2,21,2022,5,1,1,2,8,26,1
60004,2,16,2022,4,1,1,2,8,66,1
80001,1,72,2022,4,3,1,2,8,15, 
100001,1,43,2022,5,2,11,1,8,60,2
100002,2,43,2022,6,2,11,1,8,35,2
100003,1,12,2022,2,1,1,2,8,10,4
120001,1,56,2022,4,2,7,1,1,40,1
120002,2,56,2022,4,2,5,1,1,30,1
120003,1,31,2022,5,1,8,1,1,50,1
120004,2,29,2022,5,1,7,1,1,65,1
130001,1,75,2022,3,2,1,2,1,35,1
130002,2,72,2022,3,2,4,1,1,35,1
140001,2,60,2022,4,3,7,1,1,55,3
160001,1,71,2022,3,2,6,1,1,35,1
160002,2,70,2022,3,2,1,2,1,35,1
180001,2,55,2022,4,4,5,1,1,35,1
220001,1,70,2022,4,2,7,1,1,55,3
220002,2,68,2022,4,2,2,2,1,60,3
230001,1,61,2022,5,2,10,1,1,52,2
230002,2,67,2022,4,2,1,2,1,50,1
230003,2,32,2022,5,1,7,1,1,70,2
260001,1,61,2022,5,2,11,1,1,60,1
260002,2,59,2022,4,2,2,2,1,48,3
260003,2,30,2022,5,1,6,1,1,60,1
260004,1,28,2022,5,1,7,1,1,58,2
270001,1,68,2022,4,2,5,1,1,40,3
270002,2,56,2022,4,2,6,1,1,45,3
290001,2,67,2022,4,2,1,2,8,38,1
290002,1,60,2022,4,2,7,1,8,61,1
290003,2,37,2022,5,1,7,1,8,98,1
300001,2,59,2022,4,3,7,1,8,52,3
300002,2,32,2022,5,1,7,1,8,82,3
300003,2,35,2022,5,1,5,1,8,82,3
300004,1,33,2022,4,1,5,1,8,72,3
310001,1,63,2022,4,2,7,1,1,55,1
310002,2,59,2022,4,2,5,1,1,55,1
310003,2,30,2022,5,1,7,1,1,88,1
310004,2,28,2022,5,1,5,1,1,88,1
320001,1,86,2022,2,2,2,2,1,18,3
320002,2,85,2022,2,2,1,2,1,18,3
320003,1,51,2022,4,1,1,2,1,38,3
330001,2,83,2022,2,3,2,2,1,30,2
340001,1,58,2022,5,2,5,1,1,50,2
340002,2,56,2022,4,2,3,1,1,51,1
340003,1,31,2022,5,1,6,1,1,76,2
340004,1,25,2022,5,1,1,2,1,61,2
350001,1,67,2022,4,2,5,1,1,38,1
350002,1,35,2022,5,1,7,1,1,98,1
350003,2,68,2022,4,2,1,2,1,38,1
360001,1,50,2022,5,2,8,1,8,68,1
360002,2,45,2022,5,2,1,2,8,65,2
370001,1,53,2022,5,2,8,1,8,68,1
370002,2,53,2022,4,2,7,1,8,68,2
380001,1,45,2022,5,2,8,1,8,65,1
380002,2,43,2022,6,2,11,1,8,60,2
390001,2,54,2022,4,2,1,2,4,22,1
390002,2,28,2022,5,1,6,1,4,41,1
390003,1,25,2022,5,1,1,2,4,38,1
390004,1,55,2022,5,2,18,1,4,50,1
400001,1,65,2022,4,2,6,1,4,32,3
400002,2,61,2022,3,2,1,2,4,35,2
400101,1,35,2022,5,2,9,1,4,100,1
400102,2,35,2022,5,2,1,2,4,100,1
410002,2,56,2022,4,4,4,1,4,57,2
410003,2,18,2022,4,1,1,2,4,35,2
420001,1,42,2022,4,2,7,1,4,88,2
420002,2,42,2022,4,2,1,2,4,100,2
420003,1,15,2022,3,1,1,2,4,35,2
420004,1,7,2022,2,1,1,2,4,29, 
430001,1,41,2022,4,2,6,1,4,65,1
430002,2,41,2022,4,2,4,1,4,75,1
430003,1,13,2022,3,1,1,2,4,42,1
430004,1,11,2022,2,1,1,2,4,12,1
440001,1,60,2022,5,2,3,2,4,31,1
440002,2,57,2022,4,2,1,2,4,15,3
440003,2,32,2022,5,1,6,1,4,35,1
440004,2,29,2022,5,1,6,1,4,20,4
460001,1,50,2022,5,2,10,1,1,65,2
460002,2,46,2022,4,2,6,1,1,65,3
470001,1,60,2022,4,2,9,1,8,65,2
470002,2,86,2022,2,3,1,2,8,35,3
470003,2,53,2022,4,2,1,2,8,15,2
480001,1,82,2022,3,2,5,1,1,55,1
480002,2,76,2022,3,2,4,1,1,50,1
490001,2,58,2022,4,2,10,1,1,65,1
490003,1,27,2022,5,1,5,1,1,75,1
500001,2,61,2022,4,2,5,1,1,55,2
510001,2,78,2022,2,3,6,1,1,45,3
520001,1,61,2022,4,2,7,1,1,70,2
520002,2,50,2022,4,2,5,1,1,65,1
530001,1,74,2022,3,2,5,1,1,35,1
530002,2,75,2022,3,2,1,2,1,35,1
530003,1,53,2022,4,2,8,1,1,65,1
530004,2,50,2022,4,2,4,1,1,55,1
540001,1,75,2022,3,2,4,1,1,35,2
540002,2,65,2022,3,2,1,2,1,30,2
540003,2,34,2022,4,1,7,1,1,65,1
550001,1,77,2022,2,3,1,2,1,40,2
550002,1,41,2022,4,2,7,1,1,55,2
550003,2,39,2022,4,2,1,2,1,40,2
560001,1,48,2022,5,2,10,1,1,40,1
560002,2,45,2022,4,2,1,2,1,60,1
570001,1,64,2022,4,2,6,1,1,56,2
570002,2,64,2022,4,2,5,1,1,50,2
570003,1,34,2022,5,1,6,1,1,60,3
580001,1,78,2022,3,2,8,1,1,35,3
580002,2,74,2022,3,2,1,2,1,35,3
590001,1,47,2022,4,1,9,1,1,70,1
600001,1,63,2022,4,2,8,1,1,55,1
600002,2,60,2022,3,2,1,2,1,65,3
600005,1,26,2022,5,1,6,1,1,70,3
610001,2,31,2022,5,1,7,1,1,70,2
620001,2,39,2022,5,1,8,1,1,62,3
630001,1,44,2022,5,2,9,1,1,70,1
630002,2,42,2022,4,2,9,1,1,75,1
640001,2,59,2022,4,2,8,1,1,60,1
640002,1,34,2022,5,1,8,1,1,70,1
650002,2,82,2022,2,2,6,1,8,32,2
660001,1,60,2022,4,2,11,1,1,32,3
660002,2,57,2022,5,2,8,1,1,43,3
660004,1,29,2022,5,1,7,1,1,45,2
670001,1,56,2022,5,2,9,1,1,66,3
670002,2,54,2022,5,2,1,2,1,59,3
670003,1,27,2022,5,1,6,1,1,66,3
680002,2,85,2022,4,2,1,2,1,36,3
690001,1,56,2022,6,2,10,1,1,36,2
690002,2,53,2022,5,2,6,1,1,46,2
690003,1,26,2022,5,1,6,1,1,31,2
700001,1,63,2022,5,2,13,1,1,55,1
700002,2,56,2022,4,2,6,1,1,36,1
710001,1,55,2022,5,2,11,1,1,55,1
710002,2,51,2022,4,2,1,2,1,55,1
710003,2,25,2022,5,1,5,1,1,28,1
720002,2,39,2022,5,2,1,2,1,34,1
720007,1,14,2022,3,1,1,2,1,34,1
730002,2,57,2022,5,2,6,1,1,55,2
730003,2,31,2022,5,1,6,1,1,40,2
740001,1,58,2022,5,2,11,1,1,43,1
740002,2,54,2022,4,2,1,2,1,33,2
740004,2,26,2022,5,1,6,1,1,45,2
750002,2,59,2022,5,2,1,2,1,27,2
750003,2,33,2022,5,1,7,1,1,39,2
750004,2,29,2022,5,2,5,1,1,39,2
760001,1,62,2022,5,1,8,1,1,32,1
760002,2,57,2022,4,2,6,1,1,36,1
760003,1,28,2022,5,1,6,1,1,45,1
780001,1,89,2022,3,2,1,2,1,35, 
780002,2,90,2022,2,2,7,1,1,35, 
810001,1,72,2022,4,2,4,2,1,20,2
810002,2,67,2022,4,2,3,1,1,20,2
810101,1,32,2022,5,1,8,1,1,69,2
820001,1,52,2022,5,2,14,1,8,35,1
820002,2,49,2022,5,2,1,2,8,62,1
820003,1,20,2022,5,1,1,2,8,62,1
820004,2,17,2022,4,1,1,2,8,62,1
820005,2,76,2022,2,3,2,2,8,10, 
830001,1,52,2022,5,2,13,1,8,62,1
830002,2,50,2022,5,2,12,1,8,62,1
830003,2,23,2022,5,1,5,1,8,62,1
830004,2,18,2022,4,1,1,2,8,62,1
870001,1,60,2022,5,2,8,1,8,69,2
870002,2,55,2022,5,2,4,1,8,52,1
890001,1,60,2022,5,2,14,1,8,45,2
890002,2,58,2022,4,2,1,2,8,39,2
890003,2,28,2022,5,1,7,1,8,39,2
890004,1,27,2022,5,1,7,1,8,44,3
890005,2,91,2022,2,3,2,2,8, , 
900001,1,59,2022,4,2,6,1,8,45,2
900002,2,56,2022,4,2,12,1,8,67,2
900003,1,31,2022,5,1,9,1,8,69,2
900004,1,28,2022,5,1,7,1,8,69,2
930001,1,71,2022,4,2,9,1,1,48,2
930002,2,64,2022,4,2,7,1,1,35,2
930004,2,28,2022,5,1,6,1,1,58,2
940001,1,58,2022,5,2,7,1,1,75,1
950004,2,35,2022,5,1,7,1,5,80,3
960001,1,49,2022,5,2,7,1,1,65,1
970001,1,74,2022,3,2,7,1,1,40,2
970002,2,72,2022,2,2,1,2,1,30,2
980001,1,62,2022,5,2,9,1,1,55,2
980002,2,62,2022,4,2,6,1,1,50,1
980003,2,40,2022,5,2,8,1,1,55,2
980004,1,42,2022,5,2,14,1,1,45,2
990001,1,74,2022,5,2,5,1,1,31, 
990002,2,69,2022,4,2,1,2,1,40,2
990003,1,45,2022,5,1,6,1,1,56,2
1000001,1,45,2022,5,2,8,1,1,55,1
1000002,2,44,2022,5,2,7,1,1,43,2
1010002,2,47,2022,5,2,6,1,1,40,2
1010003,1,16,2022,4,1,1,2,1,38,2
1010004,2,13,2022,3,1,1,2,1,36,2
1020002,2,80,2022,3,2,4,1,1,25,1
1020004,2,60,2022,4,2,5,1,1,34,1
1030001,1,74,2022,4,2,1,2,1,32,1
1030002,2,67,2022,3,2,1,2,1,41,2
1040001,1,53,2022,5,2,9,1,1,39,2
1040002,2,53,2022,5,2,4,1,1,52,2
1040003,1,27,2022,5,1,7,1,1,48,2
1060001,1,56,2022,5,2,10,1,1,65,1
1060002,2,54,2022,5,2,1,2,1,55,1
1060004,2,18,2022,4,1,1,2,1,35,1
1070001,1,51,2022,5,2,9,1,1,55,1
1070002,2,48,2022,5,2,8,1,1,38,1
1070003,2,14,2022,3,1,1,2,1,34,1
1080002,2,73,2022,2,3,4,1,1,42,3
1090001,1,50,2022,5,2,10,1,1,69,1
1090002,2,50,2022,5,2,1,2,1,39,1
1100001,1,52,2022,5,1,7,1,1,69,1
1110001,1,66,2022,5,2,7,1,1,45,3
1110002,2,61,2022,5,2,1,2,1,23, 
1120001,1,56,2022,5,2,7,1,1,49,2
1120002,2,51,2022,5,2,7,1,1,33,2
1120003,2,24,2022,5,1,7,1,1,49,2
1150001,1,52,2022,5,2,7,1,1,75,3
1150002,2,49,2022,5,2,1,2,1,47,3
1160001,1,53,2022,4,2,11,1,1,55,3
1160002,2,54,2022,5,2,1,1,1,55,3
1160003,1,21,2022,5,1,2,2,1,85,2
1170001,1,53,2022,5,2,9,1,1,65,1
1170002,2,48,2022,5,2,1,2,1,85,1
1170003,1,21,2022,5,1,1,2,1,85,2
1180001,1,51,2022,6,2,15,1,1,75,1
1180002,2,52,2022,5,2,1,2,1,55,1
1180003,1,15,2022,3,1,1,2,1,65,1
1180004,2,13,2022,3,1,1,2,1,55,1
1190001,1,51,2022,5,4,7,1,1,38,2
1200001,1,61,2022,5,2,11,1,1,45,1
1200002,2,58,2022,5,2,1,2,1,45,1
1210001,1,62,2022,5,2,10,1,1,65,2
1210002,2,59,2022,5,2,1,2,1,35,2
1210004,1,31,2022,5,1,8,1,1,58,3
1220001,2,84,2022,2,3,3,2,1,35,3
1230002,1,66,2022,4,2,9,1,1,40,1
1230003,2,63,2022,4,2,1,2,1,35,1
1260001,1,60,2022,4,2,10,1,1,45,1
1260002,2,59,2022,4,2,1,2,1,35,1
1270001,1,60,2022,5,2,16,1,1,55,2
1270002,2,56,2022,4,2,1,2,1,40,2
1280001,2,53,2022,4,4,7,1,1,60,1
1290001,1,58,2022,4,2,10,1,1,55,1
1290002,2,58,2022,4,2,1,2,1,40,1
1290003,1,32,2022,5,1,8,1,1,55,1
1300001,1,64,2022,5,2,12,1,1,65,1
1300002,2,59,2022,5,2,1,2,1,40,1
1300004,1,32,2022,5,1,8,1,1,63,1
1310001,2,45,2022,5,2,1,2,1,54,1
1310002,1,46,2022,5,2,12,1,1,45,1
1320001,1,67,2022,5,2,8,1,1,65,2
1320002,2,65,2022,5,2,7,1,1,40,2
1320101,1,37,2022,5,2,7,1,1,65,2
1320102,2,32,2022,5,2,6,1,1,50,2
1330001,2,60,2022,4,3,8,1,1,45,3
1340001,1,41,2022,5,2,12,1,8,40,2
1340002,2,41,2022,5,2,6,1,8,43,2
1340003,2,11,2022,2,1,1,2,8,9,4
1340004,1,8,2022,2,1,1,2,8,9,4
1350001,2,72,2022,4,3,6,2,1,40,2
1360001,1,76,2022,2,2,3,2,1,33,1
1360002,2,68,2022,2,2,1,2,1,25,1
1380001,1,73,2022,3,2,3,2,1,25,2
1380002,2,72,2022,3,2,1,2,1,25,2
1500002,2,47,2022,4,2,5,1,1,45,2
1500003,1,18,2022,4,1,1,2,1,40,1
1500004,2,81,2022,2,3,2,2,1,18, 
1510001,1,68,2022,4,2,5,1,4,27,2
1510002,2,65,2022,4,2,1,2,4,27,3
1510003,1,42,2022,5,1,9,1,4,65,1
1520002,2,72,2022,4,3,1,2,1,25,2
1520004,2,44,2022,5,2,1,2,1,35,2
1520005,1,17,2022,4,1,1,2,1,30,2
1530001,1,65,2022,5,2,10,1,1,35,2
1530002,2,65,2022,4,2,6,1,1,35,1
1530003,1,34,2022,5,1,8,1,1,75,1
1540001,1,64,2022,5,2,8,1,1,35,1
1540002,2,63,2022,4,2,1,2,1,25,1
1540003,1,36,2022,4,1,7,1,1,70,1
1550001,2,40,2022,5,2,7,1,8,99,3
1560001,2,66,2022,5,3,1,2,1,36,2
1570001,2,53,2022,4,4,1,2,1,40,3
1580001,2,64,2022,4,1,5,1,1,34,1
1590001,1,63,2022,5,2,7,1,1,25,1
1590002,2,60,2022,5,2,4,1,1,25,1
1590003,2,32,2022,5,1,8,1,1,55,2
1600001,2,39,2022,4,2,1,2,1,45,2
1610001,1,66,2022,5,2,8,1,1,39,3
1610002,2,62,2022,4,2,1,2,1,47,3
1620001,2,42,2022,4,2,6,1,1,38,1
1630001,1,56,2022,5,2,9,1,1,51,1
1630002,2,56,2022,5,2,6,1,1,50,1
1630003,2,32,2022,5,1,8,1,1,38,3
1640001,1,57,2022,5,2,14,1,1,45,2
1640002,2,54,2022,5,2,1,2,1,45,2
1650001,1,48,2022,5,2,11,1,1,34,2
1650002,2,47,2022,5,2,1,2,1,55,1
1660001,1,56,2022,5,2,9,1,1,45,3
1660002,2,47,2022,5,2,7,1,1,45,3
1660003,1,21,2022,5,1,1,2,1,36,2
1670001,1,47,2022,5,2,9,1,1,63,1
1670002,2,42,2022,5,2,6,1,1,55,2
1670003,1,13,2022,3,1,1,2,1,27,1
1680002,2,53,2022,4,2,5,1,1,46,2
1680003,1,27,2022,5,1,9,1,1,55,1
1680004,1,24,2022,5,1,4,1,1,55,1
1690001,1,49,2022,5,2,9,1,1,60,3
1690002,2,47,2022,5,2,8,1,1,47,3
1700001,1,47,2022,5,2,9,1,1,50,3
1700002,2,42,2022,5,2,6,1,1,37,3
1700003,1,12,2022,2,1,1,2,1,22,3
1710001,1,56,2022,5,2,11,1,1,75,3
1710002,2,54,2022,5,2,1,2,1,55,3
1720001,1,53,2022,5,2,13,1,1,46,1
1720002,2,49,2022,5,2,8,1,1,47,3
1720003,1,23,2022,5,1,7,1,1,55,1
1730001,1,47,2022,5,2,14,1,1,39,2
1730002,2,46,2022,5,2,6,1,1,39,2
1740001,1,59,2022,5,2,9,1,8,85,3
1740002,2,57,2022,5,2,1,2,8,85,3
1740003,2,30,2022,5,1,7,1,8,55,3
1740004,1,27,2022,5,1,7,1,8,55,3
1760001,1,56,2022,5,2,18,1,8,90,2
1760002,2,50,2022,5,2,1,2,8,50,1
1760003,2,25,2022,5,1,1,2,8,65,2
1760004,2,21,2022,5,1,3,2,8,69,2
1770001,1,53,2022,5,2,18,1,8,85,2
1770002,2,53,2022,5,2,1,2,8,85,3
1770003,2,25,2022,5,1,11,1,8,15,4
1770004,1,21,2022,4,1,1,2,8,85,4
1800001,1,55,2022,5,2,15,1,8,44,1
1800002,2,52,2022,4,2,1,2,8,50,1
1800003,2,25,2022,5,1,8,1,8,34,1
1800004,2,23,2022,5,1,1,2,8,34,1
1800005,2,58,2022,5,1,10,1,8,55,1
1840001,1,54,2022,4,2,8,1,8,47,1
1840002,2,53,2022,4,2,1,2,8,50,1
1850001,1,53,2022,5,2,16,1,8,35,1
1850002,2,48,2022,5,2,1,2,8,35,1
1850003,2,26,2022,5,1,7,1,8,19,1
1850004,2,25,2022,5,1,3,2,8,23,1
1850005,1,23,2022,5,1,1,2,8,32,1
1870001,1,48,2022,5,2,18,1,8,43,1
1870002,2,47,2022,5,2,1,2,8,35,1
1870003,2,20,2022,5,1,1,2,8,26,1
1870004,2,17,2022,4,1,1,2,8,50,1
1880001,1,59,2022,5,2,7,1,8,45,3
1880002,2,55,2022,5,2,1,2,8,55,3
1880003,2,27,2022,5,1,9,1,8,55,3
1880004,2,81,2022,4,2,1,2,8,25, 
1880005,1,82,2022,4,2,1,2,8,20, 
1890001,1,83,2022,5,2,1,2,8,20, 
1890002,2,80,2022,5,2,1,2,8,30, 
1980001,1,53,2022,4,2,7,1,1,100,1
1990001,1,57,2022,5,2,9,1,1,49,2
1990002,2,55,2022,5,2,9,1,1,39,2
1990003,1,27,2022,5,1,7,1,1,80,2
1990004,1,22,2022,5,1,1,2,1,61,2
2000001,1,67,2022,4,2,6,1,1,38,1
2000002,2,64,2022,4,2,5,1,1,48,1
2000003,2,36,2022,5,1,7,1,1,69,1
2000004,2,31,2022,5,1,7,1,1,69,1
2000005,1,24,2022,6,1,1,2,1,61,1
2010001,2,70,2022,4,3,7,1,8,39,2
2010002,1,42,2022,5,1,9,1,8,85,2
2030001,1,41,2022,4,2,7,1,1,59,2
2030002,2,42,2022,5,2,9,1,1,38,3
2030003,2,17,2022,4,1,1,2,1,28,3
2030004,1,13,2022,3,1,1,2,1,22,3
2040001,2,60,2022,4,4,7,1,8,42,1
2050001,1,52,2022,5,1,9,1,1,41,1
2060001,2,89,2022,2,3,3,2,1,15, 
2070001,1,58,2022,5,2,10,1,1,48,1
2070002,2,56,2022,5,2,7,1,1,38,1
2070003,1,22,2022,5,1,1,2,1,48,1
2080001,1,62,2022,4,2,9,1,1,45,3
2080002,2,59,2022,4,2,1,2,1,38,3
2080003,2,32,2022,5,1,7,1,1,55,3
2080004,2,28,2022,5,1,9,1,1,55,3
2100001,1,84,2022,2,2,4,1,1,25,1
2100002,2,67,2022,4,2,1,2,1,28,3
2110001,1,74,2022,4,2,1,2,1,29,2
2110002,2,69,2022,4,2,1,2,1,36,2
2110003,1,43,2022,5,1,9,1,1,59,1
2120001,1,84,2022,3,2,3,2,4,15, 
2120002,2,80,2022,2,2,3,2,4,12, 
2130001,1,79,2022,4,2,5,2,1,9, 
2130002,2,77,2022,4,2,1,2,1,9, 
2140001,1,77,2022,3,2,1,2,1,18, 
2140002,2,73,2022,2,2,1,2,1,18, 
2140003,2,46,2022,5,1,8,1,1,69,3
2140004,1,41,2022,5,1,9,1,1,59,3
2150001,1,74,2022,4,2,7,1,1,35,1
2150002,2,66,2022,4,2,1,2,1,35,3
2170001,1,54,2022,5,2,9,1,1,49,1
2170002,2,50,2022,5,2,9,1,1,49,1
2170003,2,26,2022,5,1,7,1,1,78,1
2170004,2,22,2022,5,1,1,2,1,59,1
2180001,1,62,2022,4,2,9,1,1,39,1
2180002,2,55,2022,4,2,1,2,1,39,1
2180003,2,30,2022,5,1,7,1,1,71,1
2180004,2,28,2022,5,1,7,1,1,61,1
2180005,2,21,2022,5,1,1,2,1,49,1
2190001,1,47,2022,5,2,9,1,1,49,3
2190002,2,43,2022,5,2,1,2,1,48,3
2190003,2,13,2022,3,1,1,2,1,22,3
2190004,1,10,2022,2,1,1,2,1,28,3
2200001,1,68,2022,4,2,1,2,1,38,3
