id,gender,age,year,school,mar,mobile_bundle,income,job,region,phone_usage_per_m,telecom
660004,1,24,2017,5,1,1,1,2,1,54,2
670001,1,51,2017,5,2,2,15,1,1,29,1
670002,2,49,2017,5,2,2,1,2,1,29,1
690001,1,51,2017,6,2,2,13,1,1,47,3
690002,2,48,2017,5,2,2,1,2,1,59,3
700001,1,58,2017,5,2,1,7,1,1,29,1
700002,2,51,2017,4,2,1,6,1,1,29,1
710001,1,50,2017,5,2,1,10,1,1,59,2
710002,2,46,2017,4,2,1,1,2,1,59,2
720002,2,34,2017,5,2,2,1,2,1,59,2
730001,1,56,2017,5,2,1,16,1,1,65,3
730002,2,52,2017,5,2,1,1,2,1,39,3
730004,1,24,2017,5,1,1,1,2,1,34,3
740001,1,53,2017,5,2,2,11,1,1,59,2
740002,2,49,2017,4,2,2,1,2,1,59,3
750002,2,54,2017,5,2,2,1,2,1,69,1
750004,2,24,2017,5,1,2,1,2,1,69,1
760002,2,52,2017,4,2,1,7,1,1,55,2
810002,2,62,2017,4,2,1,4,1,1,75,2
810003,1,27,2017,5,1,1,1,2,1,80,2
820001,1,47,2017,5,2,1,11,1,8,69,1
820002,2,44,2017,5,2,1,1,2,8,35,1
820003,1,15,2017,3,1,1,1,2,8,39,1
820004,2,12,2017,2,1,1,1,2,8,35,1
820005,2,71,2017,2,3,2,1,2,8,35,1
830001,1,47,2017,5,2,2,13,1,8,69,1
830002,2,45,2017,5,2,2,12,1,8,30,2
830003,2,18,2017,4,1,2,1,2,8,34,2
830004,2,13,2017,3,1,2,1,2,8,34,1
890001,1,55,2017,5,2,1,4,1,8,65,2
890002,2,53,2017,4,2,1,5,1,8,34,2
890003,2,23,2017,5,1,1,2,2,8,39,1
890004,1,22,2017,5,1,2,5,1,8,69,3
900001,1,54,2017,4,2,2,6,1,8,69,1
900002,2,51,2017,4,2,1,18,1,8,69,1
900003,1,26,2017,5,1,2,1,2,8,72,3
900004,1,23,2017,5,1,1,3,1,8,65,2
930001,1,66,2017,4,2,1,7,1,1,45,2
930002,2,59,2017,4,2,1,6,1,1,40,2
930004,2,23,2017,5,1,1,6,1,1,60,2
940001,1,53,2017,5,2,1,11,1,1,65,3
940002,2,49,2017,4,2,1,11,1,1,78,3
950002,2,64,2017,4,2,1,1,2,1,45,1
950005,1,26,2017,5,1,1,4,2,1,63,3
960002,2,42,2017,5,2,1,1,2,1,55,2
960003,1,11,2017,2,1,1,1,2,1,42,3
970001,1,69,2017,3,2,1,3,1,1,50,2
980001,1,57,2017,5,2,1,16,1,1,45,2
980002,2,57,2017,4,2,1,1,2,1,45,2
980003,2,35,2017,5,1,1,8,1,1,45,2
990002,2,64,2017,4,2,2,1,2,1,29,1
1000001,1,40,2017,5,2,1,9,1,1,59,1
1000002,2,39,2017,5,2,1,8,1,1,65,1
1010001,1,42,2017,5,2,1,8,1,1,59,1
1010002,2,42,2017,5,2,1,5,1,1,59,1
1010003,1,11,2017,2,1,1,1,2,1,18,1
1010004,2,8,2017,2,1,1,1,2,1,18,1
1020003,1,51,2017,4,2,1,11,1,1,59,3
1020004,2,55,2017,4,2,1,7,1,1,59,3
1030001,1,69,2017,4,2,1,9,1,1,38,2
1040001,1,48,2017,5,2,1,16,1,1,49,2
1040002,2,48,2017,5,2,1,1,2,1,49,2
1040003,1,22,2017,5,1,1,1,2,1,34,2
1040004,1,18,2017,4,1,1,1,2,1,34,2
1060001,1,51,2017,5,2,1,10,1,1,50,1
1060002,2,49,2017,5,2,1,1,2,1,40,1
1070001,1,46,2017,5,2,1,12,1,1,50,1
1070002,2,43,2017,5,2,1,5,1,1,45,1
1080002,2,68,2017,2,2,2,4,1,1,53,1
1090001,1,45,2017,5,2,1,6,1,1,59,2
1090002,2,45,2017,5,2,1,1,2,1,59,2
1150001,1,47,2017,5,2,1,12,1,1,45,3
1150002,2,44,2017,5,2,1,1,2,1,45,3
1160001,1,48,2017,4,2,1,9,1,1,26,2
1160002,2,49,2017,5,2,1,1,2,1,56,2
1160004,1,16,2017,4,1,1,1,2,1,37,1
1170002,2,43,2017,5,2,1,4,1,1,37,3
1170003,1,16,2017,4,1,1,1,2,1,28,1
1180001,1,46,2017,6,2,2,9,1,1,39,1
1180002,2,47,2017,5,2,2,1,2,1,39,1
1190002,2,39,2017,5,2,1,1,2,1,62,2
1190003,1,14,2017,3,1,1,1,2,1,65,3
1200001,1,56,2017,5,2,1,8,1,1,48,3
1200002,2,53,2017,5,2,1,1,2,1,49,1
1210001,1,57,2017,5,2,1,11,1,1,62,1
1210002,2,54,2017,5,2,1,1,2,1,50,1
1210003,1,28,2017,5,1,1,1,2,1,60,1
1210004,1,26,2017,5,1,1,1,2,1,45,1
1230001,2,67,2017,4,3,2,3,1,1,40,1
1230002,1,61,2017,4,2,1,4,1,1,60,1
1230003,2,58,2017,4,2,1,5,1,1,50,3
1230005,2,25,2017,5,1,2,6,1,1,60,1
1240001,1,75,2017,4,2,2,1,2,1,35,3
1260001,1,55,2017,4,2,1,9,1,1,45,2
1260002,2,54,2017,4,2,1,1,2,1,40,2
1270001,1,55,2017,5,2,2,16,1,1,50,1
1270002,2,51,2017,4,2,1,1,2,1,40,1
1280001,2,48,2017,4,4,1,7,1,1,40,1
1290001,1,53,2017,4,2,1,6,1,1,50,1
1290002,2,53,2017,4,2,1,1,2,1,50,1
1290003,1,27,2017,5,1,1,5,1,1,60,1
1300001,1,59,2017,5,2,1,10,1,1,55,1
1300002,2,54,2017,5,2,1,1,2,1,50,1
1300003,1,25,2017,4,1,1,6,1,1,56,1
1300004,1,27,2017,5,1,1,6,1,1,60,1
1310001,2,40,2017,5,2,1,1,2,1,50,1
1310002,1,41,2017,5,2,1,15,1,1,50,1
1320101,1,32,2017,5,2,1,8,1,1,63,2
1320102,2,27,2017,5,2,1,8,1,1,40,1
1330001,2,55,2017,4,4,1,7,1,1,45,3
1340001,1,36,2017,5,2,2,8,1,8,72,2
1340002,2,36,2017,5,2,2,1,2,8,67,2
1360001,1,71,2017,2,2,2,4,1,1,30,1
1470003,2,28,2017,5,1,2,6,1,1,70,2
1480002,2,44,2017,5,2,1,8,1,1,35,1
1490001,1,38,2017,6,2,1,12,1,1,69,1
1490002,2,34,2017,5,2,2,1,2,1,34,3
1500002,2,42,2017,4,2,1,5,1,1,64,1
1500004,2,76,2017,2,3,1,1,2,1,32,1
1510001,1,63,2017,4,2,1,9,1,1,48,1
1510002,2,60,2017,4,2,1,1,2,1,58,2
1510003,1,37,2017,5,1,2,5,1,1,60,2
1520002,2,67,2017,4,2,1,1,2,1,50,2
1520004,2,39,2017,5,2,1,1,2,1,70,2
