id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,telecom
10001,1,51,2018,5,2,1,2,1,45,2
10002,2,46,2018,5,2,1,2,1,35,1
20001,1,53,2018,5,2,8,1,1,68,2
30001,1,47,2018,5,2,9,1,8,39,3
30002,2,44,2018,4,2,1,2,8,38,1
30003,1,16,2018,3,1,1,2,8,43,2
30004,1,10,2018,2,1,1,2,8,8, 
40001,1,41,2018,4,2,13,1,8,150,3
40002,2,42,2018,5,2,6,1,8,85,1
40003,1,12,2018,2,1,1,2,8,21,1
40004,2,11,2018,2,1,1,2,8,21,1
50001,1,46,2018,5,2,11,1,8,25,1
50002,2,41,2018,5,2,1,2,8,25,1
50003,2,12,2018,2,1,1,2,8,15,1
50004,2,11,2018,2,1,1,2,8,15,1
60001,1,49,2018,5,2,10,1,8,39,1
60002,2,45,2018,4,2,5,1,8,28,1
60003,2,17,2018,4,1,1,2,8,31,1
60004,2,12,2018,2,1,1,2,8,19,1
80001,1,68,2018,4,3,1,2,8,16, 
90001,1,55,2018,5,2,6,1,8,35,1
100001,1,39,2018,5,2,7,1,8,93,2
100002,2,39,2018,6,2,8,1,8,51,2
100003,1,8,2018,2,1,1,2,8,8, 
110002,2,59,2018,4,2,1,2,8,40,1
120001,1,52,2018,4,2,8,1,1,60,3
120002,2,52,2018,4,2,5,1,1,46,3
120003,1,27,2018,5,1,5,1,1,79,1
120004,2,25,2018,5,1,1,2,1,50,1
130001,1,71,2018,3,2,3,2,1,28,1
130002,2,68,2018,3,2,1,2,1,22, 
140001,2,56,2018,4,3,5,1,1,55,3
160001,1,67,2018,3,2,5,1,1,38,3
160002,2,66,2018,3,2,4,1,1,25,1
170001,2,71,2018,3,3,1,2,1,19, 
180001,2,51,2018,4,4,5,1,1,54,2
220001,1,66,2018,4,2,6,1,1,75,3
220002,2,64,2018,4,2,2,2,1,65,3
230001,1,57,2018,5,2,11,1,1,80,2
230002,2,63,2018,4,2,1,2,1,70,2
250002,1,44,2018,5,1,9,1,1,80,1
260001,1,57,2018,5,2,10,1,1,55,1
260002,2,55,2018,4,2,1,2,1,45,1
270001,1,64,2018,4,2,5,1,1,45,4
270002,2,52,2018,4,2,1,2,1,50,2
280001,2,85,2018,2,3,2,2,1,20, 
290001,2,63,2018,4,2,1,2,1,20, 
290002,1,56,2018,4,2,7,1,1,40,2
290003,2,33,2018,5,1,6,1,1,45,2
300001,2,55,2018,4,3,6,1,1,65,1
300002,2,28,2018,5,1,7,1,1,60,1
300003,2,31,2018,5,1,7,1,1,69,1
