id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,mobile_bundle,telecom
10002,2,53,2025,5,2,1,2,1,41,1,2
10003,2,28,2025,5,1,8,1,1,60,1,2
10004,1,25,2025,5,1,8,1,1,50,1,2
20001,1,60,2025,5,2,8,1,1,51,1,1
20003,1,32,2025,5,1,8,1,1,66,1,1
30001,1,54,2025,5,2,11,1,8,47,1,3
30002,2,51,2025,4,2,1,2,8,69,1,3
30003,1,23,2025,5,1,3,2,8,55,2,1
40002,2,49,2025,5,2,8,1,8,40,1,3
40004,2,18,2025,4,1,1,2,8,25,1,3
50002,2,48,2025,5,2,1,2,8,13,1,1
50004,2,18,2025,4,1,1,2,8,24,1,1
60001,1,56,2025,5,2,10,1,8,40,1,2
60003,2,24,2025,5,1,1,2,8,50,1,2
80001,1,75,2025,4,3,3,2,8,15,1,2
100001,1,46,2025,5,2,10,1,8,50,1,2
100002,2,46,2025,6,2,11,1,8,34,1,2
120001,1,59,2025,4,2,8,1,1,27,1,1
120002,2,59,2025,4,2,5,1,1,28,1,1
120004,2,32,2025,5,1,8,1,1,51,1,1
130001,1,78,2025,3,2,2,2,1,10,1,1
130002,2,75,2025,3,2,4,1,1,15,1,1
140001,2,63,2025,4,3,7,1,1,45,1,3
160001,1,74,2025,3,2,6,1,1,11,1,1
160002,2,73,2025,3,2,1,2,1,13,1,1
180001,2,58,2025,4,4,7,1,1,27,1,2
220001,1,73,2025,4,2,8,1,1,45,1,3
220002,2,71,2025,4,2,3,2,1,45,1,3
230001,1,64,2025,4,2,11,1,1,60,1,2
230002,2,70,2025,4,2,8,1,1,50,1,2
230003,2,35,2025,5,1,7,1,1,65,2,1
250002,1,51,2025,5,1,8,1,1,50,1,1
260001,1,64,2025,5,2,11,1,1,50,1,1
260002,2,62,2025,4,2,7,1,1,50,1,3
260003,2,33,2025,5,1,8,1,1,50,2,1
260004,1,31,2025,5,1,8,1,1,60,2,1
270001,1,71,2025,4,2,7,1,1,40,1,2
270002,2,59,2025,4,2,6,1,1,35,2,3
290001,2,70,2025,4,2,1,2,8,44,2,1
290002,1,63,2025,4,2,7,1,8,55,2,3
300001,2,62,2025,4,3,1,2,1,37,2,2
300002,2,35,2025,5,1,7,1,1,49,2,1
300003,2,38,2025,5,1,7,1,1,59,2,1
310001,1,66,2025,4,2,7,1,1,39,2,2
310002,2,62,2025,4,2,1,2,1,39,2,2
310003,2,33,2025,5,1,9,1,1,55,2,1
320001,1,89,2025,2,2,2,2,1,16,2,2
320003,1,54,2025,4,4,9,1,1,59,2,3
330001,2,86,2025,2,3,3,2,1,29,2,2
340002,2,59,2025,4,2,3,2,1,37,2,2
340003,1,34,2025,5,1,7,1,1,62,2,1
350001,1,70,2025,4,2,5,1,1,33,1,1
350002,1,38,2025,5,4,8,1,1,44,1,1
350003,2,71,2025,4,2,1,2,1,33,1,1
360001,1,53,2025,5,2,11,1,8,55,2,2
360002,2,48,2025,5,2,6,1,8,58,2,2
370001,1,56,2025,5,2,8,1,8,50,2,1
370002,2,56,2025,4,2,6,1,8,50,2,1
380001,1,48,2025,5,2,10,1,8,60,2,2
380002,2,46,2025,6,2,8,1,8,60,2,2
390001,2,57,2025,4,2,1,2,4,82,1,2
390002,2,31,2025,5,1,6,1,4,37,1,1
390003,1,28,2025,5,1,7,1,4,69,1,1
390004,1,58,2025,5,2,1,2,4,55,1,2
400001,1,68,2025,4,2,8,1,4,25,1,3
400002,2,64,2025,3,2,6,1,4,20,1,3
400101,1,38,2025,5,2,12,1,4,76,1,1
400102,2,38,2025,5,2,1,2,4,76,1,1
410002,2,59,2025,4,4,4,2,4,40,1,2
410003,2,21,2025,5,1,3,1,4,34,1,2
420001,1,45,2025,4,2,9,1,4,65,1,2
420002,2,45,2025,4,2,1,2,4,98,1,2
420003,1,18,2025,4,1,1,2,4,55,1,2
430001,1,44,2025,4,2,8,1,4,65,1,1
430002,2,44,2025,5,2,6,1,4,65,1,1
430003,1,16,2025,4,1,1,2,4,45,1,1
430004,1,14,2025,3,1,1,2,4,20,1,1
440001,1,63,2025,5,2,4,2,4,33,2,2
440002,2,60,2025,4,2,1,2,4,14,2,4
440003,2,35,2025,5,1,6,1,4,15,2,4
440004,2,32,2025,5,1,6,1,4,21,2,4
460001,1,53,2025,5,2,10,1,1,65,1,1
460002,2,49,2025,4,2,7,1,1,55,1,1
470001,1,63,2025,4,2,8,1,8,60,1,2
470002,2,89,2025,2,3,1,2,8,35,1, 
470003,2,56,2025,4,2,1,2,8,60,1,2
480001,1,85,2025,3,2,9,2,1,35,2,3
480002,2,79,2025,3,2,7,1,1,40,2,3
490001,2,61,2025,4,2,6,1,1,60,2,1
490003,1,30,2025,5,1,8,1,1,65,2,3
490004,1,28,2025,5,1,7,1,1,70,2,3
500001,2,64,2025,4,4,6,1,1,60,2,2
