id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,mobile_bundle,telecom
510001,2,81,2025,2,3,4,1,1,40,2,2
520001,1,64,2025,4,2,9,1,1,80,1,3
520002,2,53,2025,4,2,7,1,1,65,1,3
530001,1,77,2025,3,2,5,1,1,45,2,3
530002,2,78,2025,3,2,1,2,1,30,2, 
530003,1,56,2025,4,2,9,1,1,56,2,2
530004,2,53,2025,4,2,6,1,1,50,2,1
540002,2,68,2025,3,2,1,2,1,45,2,3
540003,2,37,2025,4,1,8,1,1,65,1,1
550002,1,44,2025,4,2,8,1,1,60,2,1
550003,2,42,2025,4,2,1,2,1,55,2,3
560001,1,51,2025,5,2,15,1,1,48,2,1
560002,2,48,2025,4,2,4,2,1,39,2,1
570001,1,67,2025,4,2,9,1,1,70,2,2
570002,2,67,2025,4,2,5,1,1,60,2,2
580001,1,81,2025,3,2,4,1,1,35,1,1
580002,2,77,2025,3,2,1,2,1,35,1,1
590001,1,50,2025,4,2,9,1,1,50,2,2
600001,1,66,2025,4,2,7,1,1,70,2,2
600002,2,63,2025,3,2,1,2,1,65,2,2
600005,1,29,2025,5,1,6,1,1,60,2,1
610001,2,34,2025,5,1,8,1,1,60,1,2
620001,2,42,2025,5,1,9,1,1,60,1,1
630001,1,47,2025,5,2,12,1,1,55,2,1
630002,2,45,2025,5,2,7,1,1,60,2,2
640001,2,62,2025,4,2,7,1,1,60,2,1
640002,1,37,2025,5,1,9,1,1,75,2,2
650001,1,83,2025,3,2,5,1,8,35,1, 
650002,2,85,2025,2,2,1,2,8,30,2, 
660001,1,63,2025,4,2,11,1,1,38,2,2
660002,2,60,2025,5,2,9,1,1,40,2,2
660003,2,34,2025,5,1,8,1,1,50,2,1
670001,1,59,2025,5,2,12,1,1,55,2,2
670002,2,57,2025,5,2,1,2,1,49,2,2
670003,1,30,2025,5,1,7,1,1,38,2,2
680001,1,90,2025,3,2,5,2,1,43,2,2
680002,2,88,2025,4,2,1,2,1,39,2,2
690001,1,59,2025,5,2,11,1,1,59,2,1
690002,2,56,2025,5,2,7,1,1,45,2,1
690003,1,29,2025,5,1,7,1,1,45,2,2
700001,1,66,2025,5,2,11,1,1,59,2,3
700002,2,59,2025,4,2,7,1,1,39,2,3
700003,2,34,2025,5,1,7,1,1,42,2,3
710001,1,58,2025,5,2,11,1,1,47,1,2
710002,2,54,2025,4,2,1,2,1,37,1,2
710003,2,28,2025,5,1,8,1,1,51,1,2
720002,2,42,2025,5,2,9,1,1,59,2,2
720007,1,17,2025,4,1,1,2,1,45,2,2
730001,1,64,2025,5,2,11,1,1,45,2,2
730002,2,60,2025,5,2,9,1,1,65,2,2
740001,1,61,2025,5,2,11,1,1,55,2,3
740002,2,57,2025,4,2,1,2,1,45,2,3
740004,2,29,2025,5,1,7,1,1,65,2,2
750002,2,62,2025,5,2,1,2,1,59,2,1
750003,2,36,2025,5,1,7,1,1,65,2,1
750004,2,32,2025,5,2,5,1,1,65,2,1
760001,1,65,2025,5,2,9,1,1,55,2,2
760002,2,60,2025,4,2,7,1,1,55,2,2
760003,1,31,2025,5,1,10,1,1,45,2,2
770001,1,83,2025,4,2,5,2,1,36,1,2
770002,2,80,2025,2,2,2,2,1,35,1,2
780001,1,92,2025,3,2,6,2,1,40,1,3
780002,2,93,2025,2,2,1,2,1,35,1,3
810001,1,75,2025,4,2,6,1,1,45,1,1
810002,2,70,2025,4,2,5,1,1,38,1,1
810101,1,35,2025,5,1,10,1,1,62,1,2
820001,1,55,2025,5,2,12,1,8,69,1,1
820002,2,52,2025,5,2,5,1,8,69,1,1
820004,2,20,2025,4,1,1,2,8,55,1,1
830001,1,55,2025,5,2,13,1,8,54,1,2
830002,2,53,2025,5,2,6,1,8,64,1,2
830003,2,26,2025,5,1,7,1,8,63,1,2
870001,1,63,2025,5,2,10,1,8,58,1,1
870002,2,58,2025,5,2,5,1,8,55,1,1
870003,2,27,2025,5,1,8,1,8,69,1,1
890001,1,63,2025,5,2,12,1,8,45,1,2
890002,2,61,2025,4,2,4,1,8,39,1,2
900001,1,62,2025,4,2,7,1,8,45,1,2
900002,2,59,2025,4,2,12,1,8,80,1,2
900003,1,34,2025,5,1,10,1,8,45,1,2
930001,1,74,2025,4,2,5,1,1,38,1,1
930002,2,67,2025,4,2,9,1,1,55,1,2
930004,2,31,2025,5,1,9,1,1,68,1,2
940001,1,61,2025,5,2,8,1,1,51,1,1
940002,2,57,2025,4,2,4,1,1,51,1,1
950001,1,76,2025,3,2,1,2,5,19,1,2
950002,2,72,2025,3,2,5,1,5,19,1,2
960001,1,52,2025,5,2,11,1,1,57,1,1
960002,2,50,2025,5,2,1,2,1,34,1,1
960003,1,19,2025,5,1,1,2,1,34,1,1
970001,1,77,2025,4,2,3,2,1,30,2,1
970002,2,75,2025,2,2,2,2,1,30,2,1
980001,1,65,2025,5,2,8,1,1,40,1,2
980002,2,65,2025,4,2,7,1,1,37,1,2
980003,2,43,2025,5,2,9,1,1,69,1,2
990001,1,77,2025,5,2,7,1,1,24,1,3
990002,2,72,2025,4,2,1,2,1,29,1,3
1000001,1,48,2025,5,2,9,1,1,44,1,3
1000002,2,47,2025,5,2,8,1,1,45,1,2
1010002,2,50,2025,5,2,8,1,1,50,1,2
1010003,1,19,2025,5,1,1,2,1,37,1,2
1010004,2,16,2025,4,1,1,2,1,30,1,2
1020002,2,83,2025,4,3,1,2,1,30,1,2
1020003,1,59,2025,4,2,9,1,1,41,1,2
1030001,1,77,2025,4,2,6,2,1,32,1,2
1030002,2,70,2025,3,2,1,2,1,32,1,2
1040001,1,56,2025,5,2,10,1,1,50,1,2
1040002,2,56,2025,5,2,9,1,1,40,2,4
1060001,1,59,2025,5,2,11,1,1,65,1,1
1060002,2,57,2025,5,2,8,1,1,60,1,1
1060004,2,21,2025,5,1,1,2,1,50,1,1
1070001,1,54,2025,5,2,10,1,1,60,1,2
1070002,2,51,2025,5,2,9,1,1,60,1,2
1070003,2,17,2025,4,1,1,2,1,39,1,2
1080002,2,76,2025,2,2,4,1,1,33,1,3
1080003,1,51,2025,4,4,7,1,1,85,1,3
1090001,1,53,2025,5,2,11,1,1,69,1,1
1090002,2,53,2025,5,2,1,2,1,37,1,1
1100001,1,55,2025,5,2,11,1,1,34,1,1
1100002,2,52,2025,5,2,1,2,1,34,1,1
1110001,1,69,2025,5,2,8,1,1,41,1,2
1110002,2,64,2025,5,2,1,2,1,33,1,2
1120001,1,59,2025,5,2,7,1,1,42,1,1
1120002,2,54,2025,5,2,7,1,1,42,1,1
1120003,2,27,2025,5,1,7,1,1,55,1,1
1150001,1,55,2025,5,2,9,1,1,75,1,3
1150002,2,52,2025,5,2,1,2,1,47,1,3
1160001,1,56,2025,4,2,11,1,1,33,1,3
1160002,2,57,2025,5,2,1,2,1,33,1,3
1160003,1,24,2025,5,1,3,1,1,51,1,3
1170001,1,56,2025,5,2,9,1,1,24,1,1
1170002,2,51,2025,5,2,1,2,1,24,1,1
1170003,1,24,2025,5,1,5,1,1,75,1,1
1180001,1,54,2025,6,2,12,1,1,69,1,1
1180002,2,55,2025,5,2,1,2,1,34,1,1
1180003,1,18,2025,4,1,1,2,1,34,1,1
1190001,1,54,2025,5,2,8,1,1,41,1,2
1190002,2,47,2025,5,2,7,1,1,48,1,2
1190003,1,22,2025,5,1,1,2,1,48,1,2
1200001,1,64,2025,5,2,11,1,1,48,1,1
1200002,2,61,2025,5,2,1,2,1,48,1,1
1210001,1,65,2025,5,2,13,1,1,60,1,2
1210002,2,62,2025,5,2,1,2,1,50,1,2
1210004,1,34,2025,5,1,8,1,1,65,1,2
1220001,2,87,2025,2,3,3,2,1,39,1,3
1230002,1,69,2025,4,2,5,1,1,38,1,3
1230003,2,66,2025,4,2,1,2,1,30,1,3
1240001,1,83,2025,4,2,5,2,1,30,1,1
1240002,2,79,2025,4,2,1,2,1,30,1,1
1260001,1,63,2025,4,2,9,1,1,48,1,3
1260002,2,62,2025,4,2,1,2,1,45,1,3
1270001,1,63,2025,5,2,14,1,1,48,1,2
1270002,2,59,2025,4,2,1,2,1,45,1,2
1280001,2,56,2025,4,2,8,1,1,40,1,1
1280002,1,60,2025,4,2,7,1,1,50,1,1
1290001,1,61,2025,4,2,10,1,1,60,1,2
1290002,2,61,2025,4,2,1,2,1,60,1,2
1290003,1,35,2025,5,1,9,1,1,70,1,2
1300001,1,67,2025,5,2,10,1,1,70,1,1
1300002,2,62,2025,5,2,1,2,1,50,1,1
1300004,1,35,2025,5,1,9,1,1,70,1,1
1310001,2,48,2025,5,2,8,1,1,55,1,1
1310002,1,49,2025,5,2,8,1,1,60,1,1
1310003,2,20,2025,5,1,1,2,1,50,1,1
1320001,1,70,2025,5,2,8,1,1,40,1,1
1320002,2,68,2025,5,2,7,1,1,40,1,1
1320101,1,40,2025,5,2,10,1,1,80,1,2
1320102,2,35,2025,5,2,9,1,1,65,1,2
1320103,2,13,2025,3,1,1,2,1,38,1,2
1330001,2,63,2025,4,3,9,1,1,55,1,3
1340001,1,44,2025,5,2,11,1,8,63,2,2
1340002,2,44,2025,5,2,15,1,8,65,2,2
1340003,2,14,2025,3,1,1,2,8,9,2,4
1350001,2,75,2025,4,3,6,2,1,50,2,2
1360001,1,79,2025,2,2,3,2,1,15,1,2
1380001,1,76,2025,5,2,4,2,1,15,1,2
1380002,2,75,2025,3,2,3,2,1,12,1,2
1470001,1,65,2025,4,2,7,1,1,36,1,2
1470003,2,36,2025,5,1,9,1,1,62,1,2
1500002,2,50,2025,4,2,7,1,1,32,1,2
1500003,1,21,2025,5,1,1,2,1,51,1,2
1500004,2,84,2025,2,3,1,2,1,8,1,2
1510001,1,71,2025,4,2,4,1,4,15,1,2
1510002,2,68,2025,4,2,1,2,4,21,1,2
1520002,2,75,2025,4,2,2,2,1,15,1,2
1520004,2,47,2025,4,2,9,1,1,45,1,2
1520005,1,20,2025,5,1,3,2,1,46,1,2
1530001,1,68,2025,5,2,9,1,1,35,1,1
1530002,2,68,2025,4,2,6,1,1,25,1,1
1530003,1,37,2025,5,1,9,1,1,27,1,4
1540001,1,67,2025,5,2,11,1,1,47,1,1
1540002,2,66,2025,4,2,1,2,1,20,1,1
1540003,1,39,2025,4,1,8,1,1,49,1,1
1550001,2,43,2025,5,2,7,1,8,69,1,3
1550002,1,50,2025,5,2,10,1,8,69,1,3
1560001,2,69,2025,5,3,1,2,1,31,1,1
1560002,1,44,2025,6,1,10,1,1,66,1,1
1570001,2,56,2025,4,2,8,1,1,41,1,3
1580001,2,67,2025,4,1,6,1,1,27,1,1
1590001,1,66,2025,5,2,7,1,1,27,1,2
1590002,2,63,2025,5,2,5,1,1,27,1,2
1590003,2,35,2025,5,1,8,1,1,50,1,2
1600001,2,42,2025,4,2,1,2,1,51,1,1
1610001,1,69,2025,5,2,9,1,1,51,1,2
1610002,2,65,2025,4,2,1,2,1,48,1,2
1610003,1,40,2025,5,1,9,1,1,80,1,2
1620001,2,45,2025,4,2,1,2,1,45,1,1
1630001,1,59,2025,5,2,12,1,1,39,1,2
1630002,2,59,2025,5,2,7,1,1,41,1,2
1630003,2,35,2025,5,1,7,1,1,64,1,2
1640001,1,60,2025,5,2,15,1,1,56,1,3
1640002,2,57,2025,5,2,1,2,1,39,1,3
1640003,2,33,2025,5,1,6,1,1,39,1,3
1650001,1,51,2025,5,2,14,1,1,53,1,2
1650002,2,50,2025,5,2,1,2,1,52,1,2
1660001,1,59,2025,5,2,9,1,1,30,1,1
1660002,2,50,2025,5,2,7,1,1,30,1,1
1660003,1,24,2025,5,1,6,1,1,66,1,1
1670001,1,50,2025,5,2,11,1,1,46,1,2
1670002,2,45,2025,5,2,6,1,1,46,1,2
1680002,2,56,2025,4,2,5,1,1,40,1,2
1680003,1,30,2025,5,1,8,1,1,40,1,2
1680004,1,27,2025,5,1,5,1,1,48,1,2
1690001,1,52,2025,5,2,9,1,1,65,1,2
1690002,2,50,2025,5,2,9,1,1,65,1,2
1700001,1,50,2025,5,2,11,1,1,60,1,1
1700002,2,45,2025,5,2,6,1,1,33,1,1
1700003,1,15,2025,3,1,1,2,1,38,1,1
1710001,1,59,2025,5,2,11,1,1,32,1,1
1710002,2,57,2025,5,2,1,2,1,27,1,1
1710003,2,32,2025,5,1,7,1,1,50,1,1
1720001,1,56,2025,5,2,13,1,1,52,1,2
1720002,2,52,2025,5,2,8,1,1,52,1,2
1720003,1,26,2025,5,1,7,1,1,44,1,2
1730001,1,50,2025,5,2,12,1,1,55,1,2
1730002,2,49,2025,5,2,7,1,1,49,1,2
1740001,1,62,2025,5,2,11,1,8,50,1,3
1740002,2,60,2025,5,2,1,2,8,45,1,3
1740003,2,33,2025,5,1,8,1,8,55,1,3
1740004,1,30,2025,5,1,9,1,8,50,1,3
1770001,1,56,2025,4,2,13,1,8,85,1,3
1770002,2,56,2025,4,2,1,2,8,85,1,3
1770003,2,28,2025,5,1,4,1,8,85,1,3
1770004,1,24,2025,5,1,7,1,8,85,1,3
1800001,1,58,2025,5,2,11,1,8,40,1,1
1800002,2,55,2025,5,2,4,1,8,55,1,1
1840001,1,57,2025,4,2,7,1,8,45,1,3
1840002,2,56,2025,4,2,1,2,8,44,1,3
1840003,1,27,2025,5,1,9,1,8,45,1,3
1850002,2,51,2025,5,2,6,1,8,21,1,1
1850003,2,29,2025,5,1,8,1,8,24,1,1
1850004,2,28,2025,5,1,6,1,8,62,1,1
1870001,1,51,2025,5,2,15,1,8,35,1,1
1870002,2,50,2025,5,2,1,1,8,42,1,1
1870004,2,20,2025,5,1,4,1,8,39,1,1
1880001,1,62,2025,5,2,12,1,8,45,1,3
1880002,2,58,2025,4,2,13,1,8,45,1,3
1880005,1,85,2025,4,3,1,2,8, , , 
1890001,1,86,2025,5,2,1,2,8,30,1,3
1890002,2,83,2025,5,2,1,2,8,33,1,3
1960001,1,87,2025,4,2,5,2,1,16,1,2
1960002,2,80,2025,4,2,2,2,1,22,1,2
1980001,1,56,2025,4,2,10,1,1,38,1,3
1990001,1,60,2025,5,2,10,1,1,49,1,3
1990002,2,58,2025,5,2,9,1,1,42,1,3
1990003,1,30,2025,5,1,8,1,1,72,1,3
2000001,1,70,2025,4,2,8,1,1,39,1,1
2000002,2,67,2025,4,2,7,1,1,38,1,1
2000005,1,27,2025,6,1,1,2,1,69,1,1
2010001,2,73,2025,4,3,7,1,8,37,2,1
2010002,1,45,2025,5,1,9,1,8,86,2,1
2030001,1,44,2025,4,2,9,1,1,79,1,1
2030002,2,45,2025,5,2,9,1,1,53,1,1
2030003,2,20,2025,5,1,1,2,1,61,1,1
2040001,2,63,2025,4,3,7,1,8,39,1,1
2050001,1,55,2025,5,1,11,1,1,59,1,1
2060001,2,92,2025,2,3,3,2,1,21,2, 
2070001,1,61,2025,5,2,11,1,1,39,1,2
2070002,2,59,2025,5,2,8,1,1,42,1,2
2070003,1,25,2025,5,1,1,2,1,79,1,2
2080001,1,65,2025,4,2,8,1,1,39,1,1
2080002,2,62,2025,4,2,1,2,1,39,1,1
2080004,2,31,2025,5,1,9,1,1,76,1,1
2100001,1,87,2025,2,2,5,1,1,25,2,1
2100002,2,70,2025,4,2,1,2,1,25,2,1
2110001,1,77,2025,4,2,1,2,1,35,2,2
2110002,2,72,2025,4,2,1,2,1,19,2,3
2110003,1,46,2025,5,1,9,1,1,79,2,1
2120001,1,87,2025,3,2,3,2,1,20,2, 
2120002,2,83,2025,2,2,3,2,1,12,2, 
2130001,1,82,2025,4,2,4,2,1,19,1, 
2130002,2,80,2025,4,2,1,2,1,19,1, 
2140001,1,80,2025,2,2,1,2,1,17,2, 
2140002,2,76,2025,2,2,1,2,1,18,2, 
2140004,1,44,2025,5,1,8,1,1,47,2,1
2150001,1,77,2025,4,2,7,1,1,33,2,2
2150002,2,69,2025,4,2,1,2,1,36,2,2
2170001,1,57,2025,5,2,10,1,1,38,1,1
2170002,2,53,2025,5,2,8,1,1,38,1,1
2170003,2,29,2025,5,1,8,1,1,76,1,1
2180001,1,65,2025,4,2,8,1,1,38,2,3
2180002,2,58,2025,4,2,1,2,1,49,2,3
2180003,2,33,2025,5,1,7,1,1,72,2,2
2190001,1,50,2025,5,2,9,1,1,68,2,1
2190002,2,46,2025,5,2,1,2,1,52,2,1
2190003,2,16,2025,4,1,1,2,1,25,2,1
2200001,1,71,2025,3,2,7,1,1,25,2,1
2200002,2,69,2025,4,2,1,2,1,38,2,1
2200004,1,42,2025,5,1,9,1,1,55,2,2
2210001,1,86,2025,2,2,1,2,1,17,2, 
2210002,2,81,2025,2,2,1,2,1,18,2, 
2210003,1,58,2025,5,1,8,1,1,38,2,3
2220001,1,69,2025,4,2,7,1,1,37,1,1
2220002,2,65,2025,4,2,1,2,1,38,1,1
2220003,2,32,2025,5,1,8,1,1,68,2,1
2230001,2,89,2025,3,3,1,2,1,15,2, 
2230002,1,53,2025,5,1,9,1,1,60,2,1
2250001,1,57,2025,5,2,18,1,1,58,1,2
2250002,2,52,2025,4,2,1,2,1,32,1,2
2250003,1,24,2025,5,1,1,2,1,46,1,2
2250004,2,22,2025,5,1,1,2,1,45,1,1
2260001,1,51,2025,5,2,18,1,1,72,1,1
2260002,2,50,2025,5,2,1,2,1,42,1,1
2260003,1,19,2025,5,1,1,2,1,52,1,1
2270001,1,72,2025,4,2,6,1,1,55,1,1
2270002,2,66,2025,4,2,1,2,1,32,1,1
2270003,2,42,2025,5,1,9,1,1,58,1,1
2270004,2,38,2025,5,1,10,1,1,64,1,1
2280001,1,86,2025,3,2,4,2,1,12,2, 
2280002,2,83,2025,3,2,2,2,1,11,2, 
2290001,1,48,2025,6,2,18,1,1,70,1,1
2290002,2,47,2025,6,2,1,2,1,43,1,1
2290003,2,13,2025,3,1,1,2,1,18,1,1
2300001,1,56,2025,5,2,10,1,1,46,1,2
2300002,2,56,2025,5,2,7,1,1,36,1,2
2300003,2,33,2025,5,1,9,1,1,62,1,2
2300004,1,30,2025,5,1,7,1,1,68,1,2
2310001,1,59,2025,5,2,12,1,1,42,1,2
2310002,2,59,2025,5,2,13,1,1,48,1,2
2310003,2,35,2025,5,1,12,1,1,80,1,2
2310101,1,31,2025,5,2,18,1,1,70,1,2
2310102,2,30,2025,5,2,18,1,1,68,1,2
2320001,1,61,2025,6,2,14,1,1,43,1,2
2320002,2,61,2025,6,2,1,2,1,32,1,2
2320004,1,31,2025,5,1,7,1,1,46,1,2
2320101,1,33,2025,6,2,8,1,1,70,1,2
2320102,2,29,2025,5,2,8,1,1,62,1,2
2330001,1,74,2025,3,3,5,1,1,22,1,2
2330003,2,57,2025,4,2,9,1,1,46,1,2
2340001,1,47,2025,5,2,9,1,8,69,1,1
2340002,2,47,2025,5,2,7,1,8,69,1,1
2340003,2,17,2025,4,1,1,2,8,69,1,1
2340004,1,15,2025,3,1,1,2,8,69,1,1
2350001,1,48,2025,5,2,5,1,8,35,1,1
2350002,2,51,2025,4,2,1,2,8,25,1,4
2350003,2,17,2025,4,1,1,2,8,25,1,2
2350004,1,9,2025,2,1,1,2,8,15,1,2
2350005,1,75,2025,3,3,4,1,8,15,1,2
2400001,1,72,2025,4,2,7,1,8,50,1,2
2400002,2,71,2025,3,2,2,2,8,30,1,2
2410001,1,67,2025,4,2,7,1,8,45,1,2
2410002,2,60,2025,4,2,10,1,8,50,1,1
2410003,1,36,2025,5,1,11,1,8,109,1,1
2420001,1,66,2025,6,2,3,2,8,40,1,1
2420002,2,59,2025,6,2,14,1,8,22,1,1
2420003,1,32,2025,4,1,1,2,8,37,1,1
2420004,1,28,2025,6,1,3,2,8,36,1,1
2430001,1,49,2025,4,2,10,1,8,48,1,1
2430002,2,49,2025,4,2,1,2,8,48,1,1
2430003,1,22,2025,5,1,1,2,8,48,1,1
2430004,2,19,2025,5,1,1,2,8,58,1,1
2440001,1,40,2025,5,2,10,1,8,55,1,1
2440002,2,40,2025,5,2,1,2,8,55,1,1
2440003,1,16,2025,4,1,1,2,8,45,1,1
2440004,2,12,2025,2,1,1,2,8,36,1,1
2450001,1,50,2025,5,2,14,1,8,100,1,3
2450002,2,50,2025,4,2,6,1,8,104,1,3
2450003,2,23,2025,5,1,4,2,8,85,1,3
2450004,2,21,2025,5,1,1,2,8,97,1,3
2450005,1,20,2025,5,1,1,2,8,97,1,3
2460001,1,73,2025,3,2,7,1,8,30,1,2
2460002,2,69,2025,4,2,2,2,8,30,1,2
2620001,1,50,2025,5,2,12,1,8,100,1,3
2620002,2,49,2025,5,2,6,1,8,86,1,3
2620004,2,18,2025,4,1,1,2,8,70,1,3
2640001,1,61,2025,5,2,8,1,8,80,1,3
2640002,2,56,2025,5,2,8,1,8,70,1,3
2640003,2,34,2025,5,1,9,1,8,130,1,3
2690001,1,65,2025,5,2,8,1,8,50,1,2
2690002,2,62,2025,4,2,1,2,8,40,1,2
2690003,1,37,2025,5,1,7,1,8,60,1,2
2690004,2,35,2025,5,1,6,1,8,55,1,2
2700001,1,72,2025,4,2,6,1,8,40,1,2
2700002,2,65,2025,4,2,1,2,8,45,1,2
2710001,1,55,2025,5,2,9,1,8,50,1,2
2710002,2,52,2025,4,2,1,2,8,40,1,2
2720001,1,51,2025,5,2,9,1,8,55,1,2
2720002,2,49,2025,5,2,1,2,8,50,1,2
2730001,1,48,2025,5,2,9,1,8,50,1,2
2730002,2,46,2025,5,2,1,2,8,50,1,2
2750001,1,64,2025,3,2,6,1,8,50,1,2
2750002,2,56,2025,4,2,1,2,8,40,1,2
2750003,1,33,2025,5,1,7,1,8,60,1,2
2760001,1,60,2025,4,2,7,1,8,60,1,2
2760002,2,62,2025,4,2,1,2,8,50,1,2
2770001,1,48,2025,5,2,9,1,8,40,1,2
2770002,2,48,2025,4,2,1,2,8,50,1,2
2780001,1,67,2025,5,2,9,1,8,50,1,2
2780002,2,67,2025,4,2,1,2,8,50,1,2
2800001,1,50,2025,5,2,9,1,8,58,1,2
2800002,2,49,2025,5,2,1,2,8,50,1,1
2810001,1,41,2025,5,2,9,1,8,60,1,2
2810002,2,38,2025,5,2,1,2,8,50,1,2
2810003,1,15,2025,3,1,1,2,8,25,1,2
2820001,1,59,2025,4,2,8,1,8,50,1,2
2820002,2,83,2025,2,3,1,2,8,30,1,2
2830001,1,61,2025,5,2,8,1,8,60,1,2
2830002,2,60,2025,5,2,6,1,8,45,1,2
2840001,1,66,2025,4,2,10,1,8,55,1,2
2840002,2,63,2025,4,2,1,2,8,40,1,2
2850002,1,53,2025,5,1,9,1,5,30,1,3
2890002,2,58,2025,4,4,12,1,5,40,2,1
2890005,1,22,2025,5,1,1,2,5,20,2,1
2890006,1,18,2025,4,1,1,2,5,20,2,1
2930002,2,81,2025,2,3,2,2,5,25,2,2
2930003,2,42,2025,5,1,8,1,5,40,2,2
3010002,2,62,2025,4,2,1,2,4,38,1,2
3010003,1,30,2025,5,1,8,1,4,55,1,1
3020001,1,44,2025,4,2,14,1,4,72,1,1
3020002,2,44,2025,5,2,6,1,4,89,1,1
