id,gender,age,year,school,mar,income,job,region,phone_usage_per_m,telecom
10001,1,56,2023,5,2,9,1,1,69,2
10002,2,51,2023,5,2,1,2,1,47,2
10003,2,26,2023,5,1,7,1,1,69,2
10004,1,23,2023,5,1,1,2,1,47,2
20001,1,58,2023,5,2,10,1,1,69,1
20003,1,30,2023,6,1,9,1,1,79,1
30001,1,52,2023,5,2,11,1,8,28,2
30002,2,49,2023,4,2,1,2,8,3,2
30003,1,21,2023,5,1,1,2,8,43,2
30004,1,15,2023,3,1,1,2,8,23,2
40002,2,47,2023,5,2,11,1,8,30,3
40004,2,16,2023,4,1,1,2,8,34,3
50001,1,51,2023,5,2,15,1,8,11,4
50002,2,46,2023,5,2,1,2,8,9,1
50003,2,17,2023,4,1,1,2,8,24,1
50004,2,16,2023,4,1,1,2,8,24,1
60001,1,54,2023,5,2,11,1,8,36,1
60002,2,50,2023,4,2,7,1,8,32,1
60003,2,22,2023,5,1,2,2,8,26,1
60004,2,17,2023,4,1,1,2,8,25,1
80001,1,73,2023,4,3,1,2,8,14, 
100001,1,44,2023,5,2,8,1,8,31,2
100002,2,44,2023,6,2,9,1,8,34,2
100003,1,13,2023,3,1,1,2,8,9,4
120001,1,57,2023,4,2,7,1,1,35,2
120002,2,57,2023,4,2,5,1,1,25,2
120003,1,32,2023,5,1,9,1,1,42,2
120004,2,30,2023,5,1,7,1,1,32,4
130001,1,76,2023,3,2,1,2,1,25,1
130002,2,73,2023,3,2,4,1,1,25,1
160001,1,72,2023,3,2,6,1,1,22,2
160002,2,71,2023,3,2,1,2,1,18,2
180001,2,56,2023,4,4,5,1,1,24,1
220001,1,71,2023,4,2,7,1,1,40,3
220002,2,69,2023,4,2,2,2,1,40,3
260001,1,62,2023,5,2,10,1,1,55,3
260002,2,60,2023,4,2,2,2,1,60,3
260003,2,31,2023,5,1,8,1,1,60,1
260004,1,29,2023,5,1,8,1,1,60,1
270001,1,69,2023,4,2,6,1,1,40,3
270002,2,57,2023,4,2,7,1,1,45,3
290001,2,68,2023,4,2,1,2,8,35,1
290002,1,61,2023,4,2,7,1,8,63,1
290003,2,38,2023,5,1,7,1,8,64,1
300001,2,60,2023,4,3,1,2,8,52,1
300002,2,33,2023,5,1,7,1,8,69,1
300003,2,36,2023,5,1,5,1,8,78,1
300004,1,34,2023,4,1,5,1,8,74,1
310001,1,64,2023,4,2,7,1,1,75,1
310002,2,60,2023,4,2,5,1,1,69,1
310003,2,31,2023,5,1,7,1,1,68,1
310004,2,29,2023,5,1,5,1,1,79,1
320001,1,87,2023,2,2,2,2,1,35,1
320002,2,86,2023,2,2,1,2,1,35,1
320003,1,52,2023,4,1,6,1,1,35,1
330001,2,84,2023,2,3,3,2,1,35,1
340001,1,59,2023,5,2,5,1,1,69,1
340002,2,57,2023,4,2,3,1,1,65,1
350001,1,68,2023,4,2,4,1,1,45,3
350002,1,36,2023,5,2,7,1,1,45,3
350003,2,69,2023,4,2,7,1,1,79,3
360001,1,51,2023,5,2,13,1,8,68,1
360002,2,46,2023,5,2,1,2,8,45,1
370001,1,54,2023,5,2,9,1,8,68,3
370002,2,54,2023,4,2,6,1,8,59,2
380001,1,46,2023,5,2,10,1,8,63,2
380002,2,44,2023,6,2,8,1,8,62,3
390001,2,55,2023,4,2,1,2,4,54,1
390002,2,29,2023,5,1,7,1,4,41,1
390003,1,26,2023,5,1,6,1,4,44,1
390004,1,56,2023,5,2,5,2,4,44,1
400001,1,66,2023,4,2,7,1,4,34,3
400002,2,62,2023,3,2,1,2,4,30,3
400101,1,36,2023,5,2,8,1,4,54,1
400102,2,36,2023,5,2,1,2,4,69,1
410002,2,57,2023,4,4,1,2,4,75,2
410003,2,19,2023,5,1,1,2,4,35,2
420001,1,43,2023,4,2,9,1,4,78,2
420002,2,43,2023,4,2,1,2,4,105,2
420003,1,16,2023,4,1,1,2,4,53,2
420004,1,8,2023,2,1,1,2,4,25, 
430001,1,42,2023,4,2,7,1,4,65,1
430002,2,42,2023,4,2,5,1,4,65,1
430003,1,14,2023,3,1,1,2,4,45,1
430004,1,12,2023,2,1,1,2,4,19,1
440001,1,61,2023,5,2,3,2,4,23,1
440002,2,58,2023,4,2,1,2,4,15,3
440003,2,33,2023,5,1,6,1,4,35,1
440004,2,30,2023,5,1,6,1,4,23,4
460001,1,51,2023,5,2,10,1,1,75,3
460002,2,47,2023,4,2,7,1,1,60,3
470001,1,61,2023,4,2,8,1,8,60,2
